© 2000-2023 QIAGEN. All rights reserved.

Diseases and Bio Functions	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
Branching of cells	1.552	N/A	-1.226	-0.698	-1.218	1.534	2.27	1.243
Motor dysfunction or movement disorder	N/A	1.55	3.719	N/A	N/A	-4.452	N/A	N/A
Receptor-mediated endocytosis	1.671	-2.031	-3.116	N/A	N/A	2.653	0.095	N/A
Endocytosis by eukaryotic cells	2.751	-3.059	-3.514	N/A	N/A	N/A	N/A	N/A
Seizure disorder	-1.414	N/A	1.964	2.217	0.765	-1.929	0.947	N/A
Engulfment of cells	2.766	-2.907	-3.54	N/A	N/A	N/A	N/A	N/A
Invasion of cells	N/A	N/A	-3.417	1.264	N/A	1.616	2.89	N/A
Developmental process of synapse	N/A	N/A	-3.004	N/A	N/A	3.948	-1.86	0.339
Branching of neurites	1.723	N/A	-1.485	-0.654	0.044	1.633	1.898	1.423
Axonogenesis	1.158	N/A	-1.99	-1.256	0.315	2.754	0.589	0.785
Benign solid tumor	-2.887	0.513	-0.536	-0.371	-2.972	-0.755	0.799	N/A
Infection by lentivirus	N/A	-5.083	-3.694	N/A	N/A	N/A	N/A	N/A
Neoplasia of cells	0.475	N/A	-3.621	-0.273	-1.098	2.056	-0.123	-1.107
Metabolism of protein	0.714	-3.031	-1.258	1.067	-0.048	0.974	0.466	1.111
Renal tumor	1.897	-1.229	-2.146	-1.342	1.667	-0.378	N/A	N/A
Genitourinary tumor	1.461	-0.558	-1.866	1.015	-1.204	0.654	1.112	-0.728
Cancer of cells	N/A	N/A	-3.336	-0.695	-0.919	2.539	-1.045	N/A
Myeloid neoplasm	0.816	-1.828	-2.637	-0.64	0.277	2.143	0.128	N/A
Differentiation of oligodendrocytes	1.6	N/A	-2.838	-0.26	N/A	1.318	2.446	N/A
Anogenital cancer	N/A	-1.903	-1.363	1.97	-1.197	0.447	1.387	N/A
Size of body	N/A	-3.177	-4.948	N/A	N/A	N/A	N/A	N/A
Migration of neural cells	0.882	N/A	-3.188	-0.423	0.628	1.696	0.746	-0.524
Expression of mRNA	-0.984	1.158	1.401	-1.075	0.101	-0.965	-2.391	N/A
Formation of solid tumor	-2.459	0.038	0.246	1.978	-2.296	-0.935	0.088	N/A
Morphogenesis of nervous tissue	2.207	-0.25	-2.394	N/A	-0.332	2.833	N/A	N/A
Branching of neurons	1.863	N/A	-1.579	-0.658	-0.111	1.923	1.879	N/A
Infection of kidney cell lines	1.523	-3.641	-2.117	N/A	0.427	0.297	N/A	N/A
Infection of epithelial cell lines	1.523	-3.737	-2.127	N/A	0.427	0.167	N/A	N/A
Shape change of neurons	1.863	N/A	-1.579	-0.818	-0.111	1.9	1.692	N/A
Non-melanoma solid tumor	-2.264	-1.07	-1.55	-0.184	-1.0	0.206	-0.167	-1.511
Infection of embryonic cell lines	1.523	-3.756	-2.134	N/A	0.427	0.078	N/A	N/A
Liquid tumor	0.896	-1.463	-2.263	-0.728	-0.152	1.818	0.555	N/A
Breast or colorectal cancer	0.492	-1.644	-1.615	0.425	-1.122	1.1	1.455	N/A
Benign lesion	-2.612	-0.02	-0.656	1.036	-1.777	N/A	1.737	N/A
Renal cancer	1.414	-1.168	-1.717	-1.0	1.667	-0.816	N/A	N/A
Anemia	-1.767	1.776	N/A	-0.064	-1.01	-1.576	-0.791	-0.61
Urinary tract cancer	1.0	-0.718	-1.642	-1.0	1.265	-1.134	-0.762	N/A
Genitourinary carcinoma	N/A	-1.723	-2.06	1.698	-0.901	-0.115	0.97	N/A
Mammary tumor	1.335	-0.681	-1.528	0.895	-1.647	0.432	0.861	N/A
Extracranial solid tumor	0.21	-1.733	-1.881	1.543	-0.177	0.651	1.016	-0.101
Myeloid or lymphoid neoplasm	-0.264	-1.202	-1.331	-0.695	0.369	1.385	-0.985	-1.0
Non-malignant disorder	-2.493	-0.128	-0.814	0.655	-1.312	-0.596	1.135	N/A
Immune mediated inflammatory disease	-1.254	-1.664	N/A	0.216	-2.36	1.63	N/A	N/A
Urinary tract tumor	1.508	-0.801	-1.85	-1.342	0.905	-0.707	N/A	N/A
Clathrin mediated endocytosis	1.782	-2.414	-2.861	N/A	N/A	N/A	N/A	N/A
Neoplasia of blood cells	-0.576	-1.187	-1.304	-0.506	0.26	1.238	-0.96	-1.0
Advanced malignant tumor	0.429	-2.798	N/A	-0.162	-1.37	1.093	0.811	-0.353
Metastasis	0.429	-2.798	N/A	-0.162	-1.37	1.069	0.811	-0.353
Congenital neurological disorder	N/A	1.477	0.732	-2.27	0.55	-1.208	-0.752	N/A
Expression of RNA	-1.489	0.734	1.954	0.209	-0.537	-0.316	0.518	-1.148
Hematopoietic neoplasm	-0.063	-1.071	-1.562	-0.967	-0.214	1.762	-0.76	-0.447
Metabolism of nucleoside triphosphate	1.437	-1.107	-1.373	N/A	1.846	1.069	N/A	N/A
Transcription of DNA	-1.673	1.695	2.877	N/A	0.359	0.163	N/A	N/A
Benign Tumors	-2.887	0.277	-0.536	N/A	-2.972	N/A	N/A	N/A
Solid tumor	-0.414	-1.508	-2.067	0.522	-0.789	0.553	0.808	N/A
Infection by Retroviridae	2.829	N/A	-3.823	N/A	N/A	N/A	N/A	N/A
Malignant genitourinary solid tumor	0.16	-1.881	-2.221	0.966	0.034	-0.292	0.513	-0.577
Apoptosis of neurons	-1.331	1.7	1.159	0.098	-0.1	-1.658	-0.593	N/A
Translation of mRNA	-1.216	1.334	1.459	N/A	-0.912	N/A	-1.709	N/A
Development of cytoplasm	N/A	-1.537	-3.183	0.466	N/A	1.429	N/A	N/A
Cell cycle progression	0.936	-0.803	-0.646	1.249	-0.763	-0.536	1.677	N/A
Development of head	0.499	N/A	-0.966	1.647	-0.079	1.356	1.428	0.566
Renal lesion	0.961	-0.906	-0.609	0.084	1.546	-2.0	-0.378	N/A
Amyloidosis	N/A	1.0	2.26	0.713	N/A	-2.365	-0.139	N/A
Cognitive impairment	0.854	-0.333	-0.074	-1.922	1.485	0.234	-1.408	N/A
Differentiation of neuroglia	0.912	N/A	-2.189	0.984	N/A	0.311	1.878	N/A
Seizures	N/A	N/A	N/A	2.217	0.934	-1.861	1.206	N/A
Transcription of RNA	-1.864	1.259	2.448	N/A	-0.221	-0.279	0.128	N/A
Head and neck tumor	-1.969	-0.313	-0.688	-0.447	-1.067	1.6	-0.096	N/A
Quantity of sensory neurons	2.204	N/A	N/A	-1.345	N/A	1.368	N/A	1.238
Early-onset encephalopathy	N/A	1.913	0.946	-1.798	-0.552	-0.806	0.083	N/A
Early-onset neurological disorder	N/A	1.913	0.946	-2.041	-0.307	-0.806	0.083	N/A
Gastrointestinal tract cancer	N/A	-0.109	1.066	0.328	-1.961	1.163	1.455	N/A
Hematologic cancer	-0.775	-0.905	-1.138	-0.412	0.124	0.576	-1.151	-1.0
Growth failure or short stature	N/A	3.167	2.843	N/A	N/A	N/A	N/A	N/A
Myelodysplastic syndrome or leukemia	0.152	-1.292	-1.97	-1.387	N/A	1.189	N/A	N/A
Growth Failure	N/A	3.304	2.683	N/A	N/A	N/A	N/A	N/A
Formation of plasma membrane	N/A	N/A	N/A	N/A	N/A	3.691	-1.846	-0.412
Neurological signs	1.129	0.388	-0.799	N/A	2.003	-0.15	-1.468	N/A
Neurotransmission	N/A	N/A	1.509	-1.499	-1.183	-1.407	N/A	-0.277
Embryonal tumor	-1.98	-0.216	-0.612	N/A	-1.195	-0.577	1.287	N/A
Invasion of tumor cell lines	N/A	N/A	N/A	1.761	N/A	1.657	2.417	N/A
Liver tumor	N/A	-1.46	-1.341	0.13	1.031	-0.506	-1.356	N/A
Hepatobiliary neoplasm	N/A	-1.46	-1.326	0.13	1.031	-0.52	-1.356	N/A
Autophagy	N/A	-2.67	-3.102	N/A	N/A	N/A	N/A	N/A
Growth of lesion	N/A	N/A	N/A	0.088	-0.814	2.981	1.889	N/A
Transformation of fibroblast cell lines	0.431	-1.468	N/A	-0.278	-1.652	0.069	1.869	N/A
Abdominal lesion	0.15	0.453	-0.497	2.019	0.209	-0.31	1.126	-0.996
Cell proliferation of breast cancer cell lines	N/A	-3.224	N/A	N/A	N/A	2.522	N/A	N/A
Pelvic tumor	N/A	N/A	0.527	1.662	-1.118	0.909	1.466	N/A
Extension of cellular protrusions	-0.738	N/A	-0.161	-1.047	N/A	1.036	2.685	N/A
Abdominal adenocarcinoma	N/A	-0.745	-0.399	2.138	1.022	0.532	0.816	N/A
Nonhematologic malignant neoplasm	-1.659	-0.419	-0.395	0.086	-0.593	0.957	0.731	-0.78
Autophagy of endoplasmic reticulum	2.309	-1.941	N/A	N/A	1.291	N/A	N/A	N/A
Morphogenesis of neurons	N/A	-0.353	-2.026	-0.38	-0.449	2.326	N/A	N/A
Extrapancreatic malignant tumor	-0.453	-0.992	-1.681	-0.422	0.132	-0.065	-0.407	-1.353
Incidence of tumor	-1.861	-0.073	-0.258	0.843	-2.024	0.165	-0.275	N/A
Processing of RNA	-0.552	-1.353	0.114	0.447	-0.484	0.816	1.732	N/A
Cancer of secretory structure	-1.331	-1.06	-0.043	1.132	-0.513	0.857	0.555	N/A
Adenocarcinoma	-1.183	-0.388	-0.094	2.91	0.079	-0.233	0.579	N/A
Myeloid leukemia	N/A	-1.725	-2.352	N/A	N/A	1.387	N/A	N/A
Synthesis of ATP	1.437	-1.107	N/A	N/A	1.846	1.069	N/A	N/A
Transcription	-1.301	0.501	2.026	N/A	-0.32	-0.404	0.9	N/A
Upper urinary tract tumor	N/A	-1.229	-2.146	N/A	1.667	-0.378	N/A	N/A
Metabolism of reactive oxygen species	-0.936	1.387	N/A	-0.483	-2.566	N/A	N/A	N/A
Breast or gastric cancer	-0.958	-1.185	-1.06	N/A	-1.663	-0.49	N/A	N/A
Genitourinary adenocarcinoma	N/A	-1.471	-0.996	1.982	-0.899	N/A	N/A	N/A
Development of cerebral cortex	0.816	N/A	N/A	N/A	0.333	1.977	-2.219	N/A
Abdominal neoplasm	0.612	-0.819	-1.072	1.018	0.561	0.387	0.188	-0.626
Development of body axis	N/A	N/A	-0.863	1.647	-0.233	1.092	1.428	N/A
Proliferation of tumor cells	N/A	-2.727	N/A	N/A	N/A	2.485	N/A	N/A
Sensitivity of tumor cell lines	0.971	1.136	-0.582	N/A	2.522	N/A	N/A	N/A
Malignant solid tumor	-0.366	-1.26	-1.2	-0.739	-0.131	0.407	0.199	-0.908
Transport of molecule	N/A	-0.94	-1.957	N/A	N/A	2.31	N/A	N/A
Tumorigenesis of epithelial neoplasm	N/A	0.535	0.89	0.772	-1.589	-1.213	0.187	N/A
Neuroinflammation	0.762	N/A	N/A	-1.764	N/A	1.496	N/A	-1.067
Translation	1.042	-1.173	0.173	1.136	0.894	0.097	-0.572	N/A
Tumorigenesis of tissue	-0.408	-0.732	-1.558	0.347	-0.571	0.655	0.389	-0.416
Leukemia	N/A	N/A	-2.178	-1.387	N/A	1.504	N/A	N/A
Internalization by tumor cell lines	2.111	-2.637	N/A	N/A	-0.319	N/A	N/A	N/A
Disorder of basal ganglia	N/A	1.98	1.98	N/A	-1.104	N/A	N/A	N/A
Bone marrow lesion	N/A	N/A	-2.81	N/A	0.342	1.902	N/A	N/A
Non-hematological solid tumor	-2.163	0.134	-0.886	0.211	-0.831	0.285	0.495	N/A
Malignant neoplasm of retroperitoneum	1.117	N/A	-1.459	-1.387	1.026	N/A	N/A	N/A
B-cell lymphoma	N/A	N/A	1.786	1.0	-1.0	-1.175	N/A	N/A
Genital tumor	N/A	N/A	0.488	1.662	-0.585	1.141	1.071	N/A
Hepatobiliary carcinoma	N/A	0.51	0.497	0.0	1.004	-0.853	-2.025	N/A
Bone marrow cancer	N/A	-1.726	-2.214	N/A	N/A	0.928	N/A	N/A
Intraabdominal organ tumor	0.809	-0.957	-1.039	0.587	0.799	0.493	-0.162	N/A
Generation of tumor	N/A	-0.535	0.393	1.274	-1.137	-1.013	-0.487	N/A
Biosynthesis of purine ribonucleotide	1.69	N/A	N/A	N/A	2.068	1.069	N/A	N/A
Migration of tumor cell lines	N/A	N/A	N/A	1.047	N/A	1.225	2.554	N/A
Activation of peripheral blood neutrophils	-2.408	2.397	N/A	N/A	N/A	N/A	N/A	N/A
Gastrointestinal carcinoma	N/A	0.6	2.214	0.328	N/A	0.808	0.849	N/A
Breast cancer	N/A	-1.782	-1.914	N/A	-1.095	0.0	N/A	N/A
Migration of lung cancer cell lines	1.311	N/A	N/A	N/A	N/A	2.218	N/A	-1.195
Inflammation of joint	1.373	-0.55	N/A	-0.101	0.416	-0.281	1.98	N/A
Carcinoma	-1.142	-0.667	-0.528	0.328	-0.325	0.452	-0.499	-0.754
Cell viability of stomach cancer cell lines	3.606	N/A	N/A	N/A	N/A	N/A	N/A	-1.069
Progression of tumor	N/A	-1.958	N/A	-1.387	N/A	0.678	-0.632	N/A
Differentiation of neural cells	-0.023	N/A	-2.297	0.141	N/A	1.724	0.429	N/A
Familial neurological disorder	0.816	0.0	-1.0	N/A	1.89	-0.896	N/A	N/A
Quantity of neurons	1.059	-0.103	0.156	-0.597	-1.075	0.362	0.516	-0.73
Systemic autoimmune syndrome	-1.98	-0.218	N/A	1.131	-0.155	N/A	1.076	N/A
Proliferation of fibroblast cell lines	0.516	-1.303	N/A	N/A	-0.584	1.035	1.119	N/A
Development of carcinoma	N/A	0.285	1.022	0.905	-0.941	-0.925	-0.473	N/A
Growth of organism	N/A	N/A	-2.867	N/A	N/A	1.682	N/A	N/A
Lymphoreticular neoplasm	0.103	-1.311	-0.842	0.233	0.117	1.0	-0.467	-0.447
Synthesis of reactive oxygen species	-1.497	N/A	N/A	N/A	-2.999	N/A	N/A	N/A
Catabolism of protein	-0.609	-0.861	0.256	0.822	-1.867	0.071	N/A	N/A
Dendritic growth/branching	0.569	N/A	-0.519	-0.411	N/A	N/A	1.742	1.201
Apoptosis of lung cancer cell lines	-2.5	1.891	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of cells	N/A	N/A	N/A	1.379	N/A	1.319	1.129	-0.56
Formation of focal adhesions	1.115	-2.216	N/A	0.661	N/A	0.39	N/A	N/A
Breast or ovarian cancer	N/A	-1.782	-1.49	N/A	-1.095	0.0	N/A	N/A
Multiple cancers	N/A	-1.782	-1.49	N/A	-1.095	0.0	N/A	N/A
Cell movement of cancer cells	N/A	N/A	N/A	-0.903	N/A	2.917	0.535	N/A
Hematological or lymphatic system tumor	-0.407	-0.907	-1.467	N/A	-0.412	1.147	N/A	N/A
Sensitivity of cells	0.498	1.658	-0.04	N/A	2.132	N/A	N/A	N/A
Frequency of tumor	N/A	0.148	0.455	0.514	-2.309	-0.513	-0.371	N/A
Head and neck cancer	-1.987	-0.91	0.047	N/A	N/A	1.114	0.221	N/A
Endocytosis by tumor cell lines	1.777	-2.284	N/A	N/A	-0.215	N/A	N/A	N/A
Atrophy of organ	N/A	2.385	N/A	N/A	0.883	N/A	N/A	-1.0
Development of malignant tumor	N/A	-0.374	0.623	0.735	-1.122	-0.665	-0.744	N/A
Liver carcinoma	N/A	N/A	0.427	0.0	1.004	-0.771	-2.025	N/A
Genital tract cancer	N/A	N/A	0.25	1.709	-0.555	0.64	1.067	N/A
Advanced extracranial solid tumor	0.327	N/A	N/A	-1.98	-0.155	N/A	-1.732	N/A
Liver cancer	N/A	N/A	-0.216	-0.105	0.73	-1.124	-1.937	N/A
Hepatobiliary system cancer	N/A	N/A	-0.178	-0.105	0.73	-1.158	-1.937	N/A
Malignant neoplasm of male genital organ	N/A	N/A	-0.727	1.709	-0.555	N/A	1.067	N/A
Vasculogenesis	1.603	N/A	N/A	0.313	N/A	1.155	N/A	-0.987
Prostate cancer	N/A	N/A	-0.727	1.709	-0.555	N/A	1.067	N/A
Ubiquitination of protein	N/A	-2.622	-1.407	N/A	N/A	N/A	N/A	N/A
Neuronal cell death	-0.355	-0.494	0.221	0.578	0.393	-0.747	0.328	0.888
Cognition	0.084	N/A	-0.82	-0.393	0.204	0.797	-0.276	-1.411
Degradation of hydrogen peroxide	1.982	-1.982	N/A	N/A	N/A	N/A	N/A	N/A
Cell movement of lung cancer cell lines	0.74	N/A	N/A	N/A	N/A	1.745	N/A	-1.463
Sensory system development	N/A	N/A	N/A	-0.27	N/A	1.75	1.927	N/A
Myelination	N/A	0.137	-1.114	N/A	N/A	0.852	1.807	N/A
Extension of neurites	N/A	N/A	-0.211	0.146	N/A	0.766	2.562	0.213
Pelvic cancer	N/A	N/A	0.496	1.709	N/A	0.239	1.432	N/A
Insulin resistance	-1.023	1.116	N/A	-1.048	-0.107	N/A	0.566	N/A
Organization of organelle	N/A	-1.003	-1.033	N/A	N/A	1.505	0.294	N/A
Differentiation of oligodendrocyte precursor cells	1.714	N/A	N/A	0.104	N/A	N/A	1.997	N/A
Extraadrenal retroperitoneal tumor	N/A	N/A	-1.075	0.525	1.567	N/A	-0.647	N/A
Locomotion	N/A	N/A	1.348	-0.616	-0.922	-0.913	N/A	N/A
Glucose metabolism disorder	-1.677	N/A	N/A	-0.125	0.503	N/A	0.632	0.798
Expression of protein	0.25	-0.871	0.183	0.601	0.165	0.168	-0.66	0.78
Protein kinase cascade	N/A	-3.674	N/A	N/A	N/A	N/A	N/A	N/A
Progressive neurological disorder	0.442	-0.78	0.27	0.232	0.4	-0.531	-1.0	N/A
Cell death of lung cancer cell lines	-2.274	1.373	N/A	N/A	N/A	N/A	N/A	N/A
Survival of stem cell lines	N/A	-3.638	N/A	N/A	N/A	N/A	N/A	N/A
Malignant neoplasm of respiratory system	N/A	N/A	-1.129	-0.552	-0.306	0.667	-0.976	N/A
Shape change of neurites	N/A	N/A	-1.732	-0.814	N/A	N/A	N/A	1.066
Breast or pancreatic cancer	-0.132	N/A	-1.362	N/A	-1.292	0.812	N/A	N/A
Learning	0.311	N/A	-0.44	-0.54	0.244	0.659	-0.493	-0.894
Formation of brain	-0.102	N/A	-0.403	N/A	-0.851	1.582	-0.638	N/A
Congenital malformation of brain	N/A	1.913	0.834	N/A	-0.811	N/A	N/A	N/A
Abdominal carcinoma	-1.561	-0.013	0.819	0.207	-0.24	-0.078	-0.637	N/A
Advanced lung cancer	0.327	-0.693	N/A	N/A	-0.155	0.626	-1.732	N/A
Malignant myeloid neoplasm	N/A	-1.471	-1.601	N/A	N/A	0.447	N/A	N/A
Senescence of cells	N/A	1.953	N/A	N/A	-0.977	N/A	0.555	N/A
Development of adenocarcinoma	N/A	N/A	-0.035	2.407	-0.067	-0.494	0.478	N/A
Internalization of protein	-1.136	-1.964	-0.356	N/A	N/A	N/A	N/A	N/A
Lung cancer	N/A	N/A	-1.129	-0.552	-0.306	0.487	-0.976	N/A
Translation of protein	0.456	-0.564	0.482	0.397	0.317	-0.383	-0.851	N/A
Cerebral amyloid angiopathy	N/A	N/A	N/A	1.718	N/A	-1.718	N/A	N/A
Growth of axons	0.929	N/A	-0.129	N/A	N/A	N/A	2.36	N/A
Growth of connective tissue	0.74	-0.416	N/A	-0.669	0.134	1.14	-0.312	N/A
Rheumatic Disease	0.595	-0.55	N/A	-0.016	-0.172	0.091	1.98	N/A
Acute myeloid leukemia	N/A	-1.455	-1.941	N/A	N/A	N/A	N/A	N/A
G1 phase	N/A	N/A	N/A	N/A	-1.88	N/A	-1.509	N/A
Development of neuroglia	N/A	1.068	N/A	-0.555	N/A	1.731	N/A	N/A
Quantity of vacuole	-2.0	N/A	N/A	N/A	-1.342	N/A	N/A	N/A
Mitosis	1.066	0.504	N/A	N/A	-0.898	N/A	0.852	N/A
Pelvic carcinoma	N/A	N/A	0.97	1.067	N/A	-0.152	1.131	N/A
Malignant neoplasm of large intestine	N/A	N/A	-0.137	-0.025	N/A	1.98	1.172	N/A
Colorectal cancer	N/A	N/A	-0.137	-0.025	N/A	1.98	1.172	N/A
Development of digestive organ tumor	N/A	N/A	1.832	0.508	-0.671	-0.287	N/A	N/A
Familial congenital malformation	N/A	N/A	1.266	N/A	N/A	0.629	-1.372	N/A
Primitive neuroectodermal tumor	-1.98	N/A	N/A	N/A	N/A	N/A	1.287	N/A
Metabolism of hydrogen peroxide	1.852	-1.411	N/A	N/A	N/A	N/A	N/A	N/A
Tremor	-0.829	N/A	N/A	N/A	N/A	-2.401	N/A	N/A
Acute leukemia	N/A	-1.369	-1.816	N/A	N/A	N/A	N/A	N/A
Migration of carcinoma cell lines	0.704	N/A	N/A	N/A	N/A	2.445	N/A	N/A
G1 phase of tumor cell lines	0.728	N/A	N/A	N/A	-1.664	N/A	-0.728	N/A
Non-Hodgkin lymphoma	-1.067	N/A	0.656	0.164	-0.756	-0.463	N/A	N/A
Gastrointestinal tumor	N/A	0.582	1.079	N/A	-1.315	-0.127	N/A	N/A
Formation of stress granule	-1.455	1.633	N/A	N/A	N/A	N/A	N/A	N/A
Response of tumor cell lines	N/A	-1.736	N/A	N/A	N/A	1.326	N/A	N/A
Digestive organ tumor	N/A	-1.148	-0.199	0.612	0.528	-0.043	-0.527	N/A
Nervous system neoplasm	N/A	N/A	-0.562	0.68	-0.882	-0.915	N/A	N/A
Binding of DNA	1.4	-1.193	N/A	N/A	N/A	N/A	-0.416	N/A
Liver lesion	N/A	0.032	-0.814	1.36	0.231	-0.384	0.172	N/A
Respiratory system tumor	N/A	N/A	-1.354	-0.418	-0.445	0.765	N/A	N/A
Folding of protein	0.943	N/A	-0.822	N/A	N/A	1.195	N/A	N/A
Tumorigenesis of gastrointestinal tumor	N/A	N/A	1.96	N/A	N/A	1.0	N/A	N/A
Hepatocellular carcinoma	N/A	N/A	N/A	N/A	N/A	-0.947	-1.992	N/A
