© 2000-2023 QIAGEN. All rights reserved.

Upstream Regulators	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
ST1926	51.98839844777652	46.6157248207617	45.73487082110775	12.114423770681197	43.21109792613439	23.48067429731623	14.2259752746028	5.703217229083301
CD 437	40.946895973501384	38.27063681644164	41.67631092398378	9.79108734943414	39.6873366354616	26.56145270295477	13.611863708290516	10.504635558980283
CTNNB1	30.094844240248403	9.524642379384662	13.871024815385319	38.688423902791726	31.53819856890005	28.597065816544376	40.28033136082264	14.730735562014335
5-fluorouracil	40.3625522275667	25.53055238040251	20.99430182472481	24.85835796524065	37.99531849134692	18.01075997480669	22.543371195584044	8.019433474052207
YAP1	30.026773976829038	14.520637241313652	12.414112631538822	35.821790028349575	28.204510089757502	18.653168172110234	36.57118890214801	15.929799236652288
Lh	28.34617704532106	17.412585811448093	15.562414491506532	35.19337968828528	31.781715863884138	18.01075997480669	34.970524995591035	8.444113941064789
UQCC3	43.65283375870408	18.183545262322003	40.002355090594726	0.0	46.81612300305454	22.053483841455616	0.0	1.6026495800506468
APP	20.640495677991407	11.635312589087544	23.670223845899045	18.04395181875889	18.06924670664452	22.785705660961757	14.692851103338883	2.732040416032839
CAB39L	37.7720117960774	13.62008102604933	18.168561123646434	0.0	35.90710290484902	12.05197934303919	0.0	2.0003992527679877
GABA	18.604778794246258	14.422621162896371	19.499480016663934	12.434036051657328	16.48553647732182	15.309686154897513	11.233388171285492	2.9869322284999615
TP53	9.42484042376751	14.104236259801484	23.47694816066647	13.175019014623754	13.932014584108508	17.057508151905083	13.394462336701228	0.983118296971244
MAPT	20.130277783943438	12.330953408940328	21.696447966311496	8.432832752532548	19.234503274313667	14.112870328503835	8.239727047301242	0.0
DDX5	22.76735572329742	11.486402614961534	16.160888796315803	0.8940389332968283	32.6716767009144	12.592011795537157	1.4333029701152633	5.056240251706325
beta-estradiol	5.978812916835415	5.274733403838453	17.55946070889337	22.5622200707542	8.831087028856942	18.856236011527255	19.090736730787693	4.3343595509558925
dihydrotestosterone	11.863263648003194	8.079476230485163	10.533359134491912	17.811319273816252	9.936007522741733	17.361697663154516	11.363871904995442	4.7300272178174225
imatinib	17.510524330444156	11.850471933696292	23.688760331736194	0.0	17.871968076618572	17.340959764096567	1.5609167023584856	1.8113142082237494
TLE3	25.995786007060644	10.171146129936213	22.491593796531486	0.0	25.308369281051295	6.355144084306056	0.0	1.231310587384896
PSEN1	18.003981048993715	10.634529483779948	15.885966606640483	9.371005323227687	13.498473651800222	16.48402457160438	7.46940840909942	0.0
metribolone	17.57587118688774	10.493603515225217	22.480512883054793	3.5263192647518298	20.588604947208317	11.284449098552397	3.8967461904293956	0.0
arsenic trioxide	19.925385667580596	9.789994685752399	22.23427646948105	0.0	16.543793487233682	17.43221499199387	1.8637944305171004	1.8269348725828654
DDX3X	10.670459437802581	7.047902384265257	4.852914920727322	13.505383441044804	13.049871686861897	5.7894492653750955	15.766547713667574	4.291803503341001
TCR	8.537424771042284	5.711807423449279	5.731823330726852	15.009704948179197	9.479673615786506	12.539044282827312	14.356247986345698	1.930603063483905
TEAD1	16.48067595666358	8.127448500270763	17.893264538990742	0.0	21.156543871006726	6.815354220997865	1.057853070635511	1.1657304046451273
POLG	12.724096542685533	9.523975870951357	7.1205854834809825	14.96999410444789	10.43141123603712	1.2785941742550828	14.026739886042526	2.308054016107286
HNF4A	10.41677944766809	11.053863091359025	23.863428607898573	2.1172997061836716	9.936007522741733	8.383250697168382	1.7681795942988061	1.214903071090403
uranyl nitrate	13.592983962393252	5.778411063379002	10.935767981563183	7.94888691146106	15.061782535196427	3.7877653265439135	9.722419456525238	1.4683480106122753
PRKCG	17.139992579065165	4.24011822054717	13.626262856283285	0.9307199537812547	17.028151499947327	9.342013612503736	1.535512994485416	1.56772448113691
ESR1	7.663125924954556	4.8644167617449545	13.147071438057514	7.46397995831796	11.082334053655051	11.099444774644292	8.795733320386686	1.231310587384896
IL3	10.3015510013337	6.931970423320678	7.477853150032971	4.887398222085233	13.40303565815599	6.656615706761446	8.844664003180785	3.9120782567933454
RRP1B	8.840963344620516	5.02971819318165	3.064055846811926	10.685970339465433	9.347216115479489	4.779461773771838	12.737147279188076	6.345693038776384
interferon beta-1a	15.056887520936147	8.824485401494572	4.229701728825199	3.494330313075651	14.391820223865226	6.4622708908981386	2.737328017428022	3.163296623566388
EGFR	6.348524374147567	4.140984203557398	11.416845314482174	6.975084784533067	7.4911802572367865	14.222988055303853	5.691205606047126	1.2246438912419257
MAP3K12	7.576789090497222	5.204246214910823	6.4400825121574785	10.492224905045205	8.123789545110554	4.878233628315359	9.61192842934491	4.745464948382277
KRAS	4.603147293758078	7.362670297731429	12.243325414198564	7.809179597641236	5.75780826310925	12.452884860259028	5.405818069146412	0.9678033254999627
IGF1R	12.16808899759574	4.95075824207416	6.253912207366597	5.249183881011325	9.650813392821314	10.021741361797222	4.365433187372985	3.8196276531297726
LONP1	16.06834172454911	6.7967984555513254	12.243325414198564	4.469998284327615	8.638938951037185	4.160006926917491	0.0	2.521933088397477
gentamicin	9.42484042376751	1.951899389410037	7.039526050102039	6.905507549735007	9.347216115479489	8.824710937089199	10.013326298960227	0.6132606981468243
CD3	9.871283984065421	6.998449742430081	9.336204704345754	2.529514740251249	9.920191507398762	9.668896711858466	2.6265513374087406	1.4339490408343396
STK11	13.427442474630142	2.979556279036353	8.048815771731332	1.2040117417457108	13.470161187099729	11.077809599100515	0.0	1.6662873926311743
DAP3	10.7195852190931	10.242819899250339	10.52935273534041	8.32605701903085	4.077406412145703	0.0	0.0	6.963811204894957
HTT	9.33885647622756	2.024283903830882	7.133377151795624	3.302594103169012	13.470161187099729	10.236953885457664	3.5284754531725837	1.6718434433817249
HRAS	5.075938682904545	3.37453025516365	4.677888955835511	9.075241971646259	3.3307508402305555	7.790307563232238	13.328819811159248	2.375150139446764
tretinoin	3.934625560483079	1.0290231060806736	3.4974920221581587	10.469999973150438	4.421873123774291	9.393422937766545	11.532030216717573	4.420420871703144
dexamethasone	3.6866631063093207	2.0018975175425284	3.7523599520166453	14.246250171787908	4.214983129813646	11.941675570893343	6.589958387237598	1.770456331930148
FUS	9.703624714517469	4.406647406569966	5.705080380197018	3.226832075540842	8.27796210407138	5.950817821588331	6.319111337556887	4.304464136371105
1,2-dithiol-3-thione	9.783996421834242	8.127448500270763	12.717992922128504	1.187256941940265	2.9877374059014907	8.997731790025268	3.0833302813497263	0.0
decitabine	4.607246932744399	2.7567111031798786	3.9779468958843203	7.187743423360592	7.839270017403404	8.946359411101263	8.844664003180785	1.4427352626086742
lactacystin	9.48779557121567	2.611489762798116	5.551154733921316	3.788131352081902	8.77609187518127	10.809924101548848	4.338843345621773	0.0
IACS-010759	7.849535095417763	3.4875727652477706	1.8154231891246775	9.063191235878552	7.2924150166916135	3.058126959252439	7.819075274481245	4.701926825750491
MYCL	13.056406288141602	4.2087796739316135	6.88768549240473	2.8168294529930766	8.949823861177187	4.406712824694153	2.530383399145828	1.231310587384896
TGFB1	2.269730273350622	2.5558051936947277	6.253912207366597	8.05415560355232	4.138421304733819	11.166731486061614	7.025588607628135	0.9721702874825973
RPS15	7.242450746491542	2.501321653680727	2.374570280193658	9.106409751325186	7.409202549614555	3.196692059921107	8.62068199922001	1.6270197968198308
NFE2L2	9.023087643478965	7.086053191833671	10.804272849574811	2.5189014531517913	2.501518433510363	6.2871824717868385	2.2398828438054093	0.9433200968874219
HBA1/HBA2	14.950592934059701	2.065894038811986	8.132981326826267	0.0	12.551775230898096	3.3831571305000105	0.0	0.0
IDH2	6.770240761082865	4.162892639566464	3.059167649275851	4.913657266034363	8.969332699020953	4.076861990233439	8.729547368523015	0.0
PTP4A1	3.9587273598866846	4.5418575561551275	10.841521457655114	4.328498287473357	3.350641333275464	8.234532744435992	4.784675465988694	0.0
FOS	3.4729727586346133	1.6991263876166194	4.677888955835511	6.8171089488919	9.040669455521186	5.564780447150909	7.027029616626747	1.6158535773140996
2500002B13Rik	9.42484042376751	4.553935731560528	8.018248395617794	4.618996423049955	5.922630556030089	1.5069138910237136	1.0154986124561618	4.701926825750491
RBM20	4.311575060546151	3.8917561863013432	6.88768549240473	5.336863995924521	3.672665842353833	6.003567654948963	6.784644656398172	1.4574364572478733
PAX3-FOXO1	3.6672865306179165	6.592270868861137	4.8215356022516165	4.618996423049955	4.940052022953772	4.76790771836827	7.221429363863798	1.439041789465238
actinonin	9.07627748153762	6.811720351427092	6.206038598454395	7.190386826672258	2.4091404751636127	0.0	0.0	6.168847993403544
D-glucose	4.069729749644621	3.2952902693245734	5.644545342555617	5.620885515849756	4.728024412696618	10.003179164177785	2.742181787299538	1.4910091992425358
SOX2	0.9957785464241155	0.27520923149719106	2.417557141102609	15.541680078350394	1.7124376773802987	6.815354220997865	8.025491301945005	1.6498881362192666
trichostatin A	3.3927554869984244	1.6873667232109844	3.975525792384839	4.1221250531618	7.973330031982787	10.728427233283265	5.336032716929501	0.0
Fus	6.847228489143686	0.599206867337017	6.111259328407443	2.782526264420183	6.2615280005478695	8.200081053974548	3.081661171085212	2.8591374710816035
hydrogen peroxide	8.325803539914698	2.8831499578323365	3.4298783085343527	2.2768384741977816	7.284805678714196	7.531555557870334	3.6593391945604896	1.0421533218823094
GnRH analog	5.196026254099604	5.573144560283292	13.002154806398256	2.092657250190881	4.926979675913705	4.515155132129784	0.954014336639527	0.0
Akt	3.240307142902999	2.8604961182450945	3.755007456170245	6.176829845898243	4.048335901446014	8.234532744435992	6.096569249989804	1.4618048937793777
tanespimycin	7.401036796148914	1.6453189563701403	4.002224706337372	3.845902085520857	7.087545553705915	5.325721712941665	5.017633400179063	1.2628140858888477
MHC II	5.671251158580641	2.135172210948994	0.85865677611261	7.119468369006411	6.023521796754007	2.209225728896334	10.13488588380283	1.2403347658153352
XBP1	8.221708140580082	3.263728083946767	9.518686107418539	0.0	2.263094976093136	10.809924101548848	1.201434109172597	0.0
ALKBH7	9.42484042376751	5.772502288959796	6.103327189835038	6.9968706336260835	1.2790445493792324	0.0	0.0	5.322672097243857
forskolin	3.1313779057639457	1.0322752292473787	1.7123162673864138	6.826581251089946	5.753688947395903	6.024998198188711	6.804342545488882	3.3923898642969
lipopolysaccharide	2.4120851549770355	0.6034528754256732	5.70430212901844	7.226881376642643	2.0568706813372835	10.496104216846392	4.454496154453133	1.5588801359697984
BDNF	0.0	0.599206867337017	4.779668944789313	6.076969869311674	4.391896553704166	6.899847766968189	10.484541913391517	1.231310587384896
NFU1	6.656226511817217	4.251502090561442	8.380538792329743	0.0	11.482365478657808	3.4550949464365313	0.0	0.0
SREBF1	4.684617305849406	4.432124261502382	4.6713788143584445	5.758768239024633	4.138421304733819	2.370510511990637	3.7879230265695067	4.148819993235316
bexarotene	3.1104047597532483	1.7338070440028621	4.732218768674149	3.390220116438664	7.150756243118778	7.308503581852522	5.1137826170040785	1.0298527563156308
Insulin	4.98861304711616	3.52911332732867	3.3062437815109496	5.2327748590876055	4.728024412696618	7.2587942761456965	2.9155638624149973	1.4427352626086742
desmopressin	5.951180902025632	2.6248334733279353	5.933699309722207	3.1684520039590596	6.668738842758808	5.81697929933492	2.907902000589302	0.0
PC-SPES	8.183013359560091	2.9784138812336955	4.579197067713455	1.9567880135237077	7.204753006008191	4.369753345625851	2.838056797111594	0.9038542559919563
CDK4/6	5.844316887339772	3.2763509989355475	4.418199035119624	5.721991354579875	4.391896553704166	2.899985372419416	4.430273831929817	1.3988761943976347
nitrofurantoin	3.964737844746986	2.936204013430784	2.2103253113347785	5.363949249587269	7.966480539835181	4.842515722275093	4.02134405378445	0.900802067483614
PHF6	6.348524374147567	4.130651726281409	2.7125946883661394	2.69612334675219	6.801730574241895	3.2373544511892343	5.912831033330518	0.0
CPT1B	6.281522766513895	4.24011822054717	8.077572249493432	0.0	10.807044775010073	2.2150576544067535	0.0	0.0
HSP90B1	7.806186959680818	2.263515214949094	3.001797375760905	1.818969997808184	4.454972351905508	6.4622708908981386	4.22324434022768	1.5538359864692042
NRG1	1.6043384392215623	2.4210909973082138	2.6120109531473545	5.9266354011914455	3.866419126786948	5.457571891591934	6.1743095626522075	3.500755124018587
NSUN3	7.881366247310358	4.496483726960624	5.888726107107896	4.9765926494362915	2.7126586883475667	0.8939715955623388	0.0	4.420420871703144
Mek	1.5664355030421926	0.6775608279515535	2.0209446783219005	6.507522393880424	2.429286729955266	11.319825190733534	5.125087620429299	1.0206004606667205
IND S1	5.161934273779047	5.473904172674122	8.928549345355018	1.2231179255526798	4.728024412696618	5.00134035530575	0.0	0.0
camptothecin	1.7382345253548233	1.4307535017344	6.78280703816805	4.175519242834602	6.411801662568308	5.028779183721675	3.5881347548040092	1.0705493148256828
levodopa	1.8877881119911535	1.4406563666479737	9.58840920484995	3.4325493242202	3.4783355461852032	5.3350382709824915	3.2679135309385154	1.5564689799851774
GSKJ4	7.638844463617661	5.129581236986814	6.16068417480982	2.937901965345324	4.470144527800067	0.0	0.0	3.3448755507221035
topotecan	1.468952322778635	2.501321653680727	7.3394514871488346	2.9061917516116247	4.826182612876413	5.930120220386903	3.537401383675014	0.983118296971244
SIGLEC8	9.324637318441061	2.360376389469839	3.54223791288705	1.8483783693684266	6.395725581524866	2.999809807487861	2.054424323570389	0.9188201658556998
geldanamycin	3.599004366362396	3.8696258812712143	8.86740971300099	3.0916850793494497	4.85921399185077	5.066842385015279	0.0	0.0
CST5	2.2254972431988262	2.374731497242141	10.533359134491912	1.419722328117387	5.669138482571064	3.439039994914722	2.505883541673137	0.0
pCPT-cAMP	4.860181963244669	1.5464525156275593	3.17198507699414	5.724579790145234	4.454972351905508	2.9328555509730103	3.5241032101773158	1.930057319080993
MTOR	3.932774910215302	4.501013137260641	4.726409352659465	3.1180650898618376	1.8406578677492602	6.377831493368482	2.2204637611326548	1.1380971561670459
PDGF BB	2.0620446026529766	1.2826956631958941	2.066247128102262	4.770429065827771	7.281049807640358	4.7963505298016065	4.476462124739415	0.9957200235161824
bromobenzene	6.847228489143686	0.6775608279515535	1.090773953992756	2.7119023272958596	7.818547651011413	5.517917408545783	3.008061244101424	0.0
RB1	5.070940369291324	3.910138093787714	4.075452925455266	1.6441891105055164	8.672364100049482	2.5194710439678274	1.1968692547606907	0.0
ERBB2	1.2286476541014109	1.382922418332145	1.7488568110581997	5.300254073874662	2.637697875450423	8.53284661563651	4.7405672863059936	1.3630054357911283
SIRT3	4.889005451293829	2.112690616441732	3.2930963011907766	5.6591176412136495	1.487258728059825	2.3308003263234234	2.300333564491188	4.6867632441315425
HOXA9	5.728107295575755	0.9211803062929078	3.673176720951698	1.824388469779227	7.143764212070661	4.2193699408174625	2.172988849373705	1.075376810298946
QKI	4.013984771632342	1.894196384595117	7.7575088131552965	1.2205022555777472	1.878392189105753	6.907991680101038	3.044104485468819	0.0
EGF	1.6190434829810674	0.599206867337017	0.9036980810364739	7.450302156136988	3.4453905777996616	5.0638323580609494	6.347327825218468	1.226669321112537
TNF	0.7608499665724441	0.46769038622573694	0.7708596352270264	7.064016131121572	3.6312161473376587	4.515155132129784	7.355843583415745	2.032265148735868
MT-TE	6.500112379269869	5.02971819318165	4.966295229112107	5.3093462137916765	0.9477961844046556	0.8939715955623388	0.0	2.8950519676871296
CCND1	2.60812523523254	4.251502090561442	6.476181874540216	3.5683212822049826	1.7147612458697523	3.068098146816132	3.788385686335266	1.0298527563156308
MEL S3	2.3955773966433678	6.243675155884803	7.41788604793473	1.6049901872389105	2.9591230846918353	4.024859119381936	1.795739826053931	0.0
PTEN	4.097260053811948	1.838800541425955	5.055169543207707	5.275469894174555	3.6151436972475346	4.024859119381936	2.49982784103598	0.0
selenomethylselenocysteine	5.161934273779047	0.6775608279515535	1.6099061784262247	4.9765926494362915	4.728024412696618	4.040581659098672	4.061930987343276	1.101600851599109
INSR	3.218083374940084	1.2669866212325402	4.09532001759482	1.5760329273838343	6.241831313641632	4.81250422276668	3.0063511594816257	2.029453885661684
KDM5A	5.960063101112895	3.3348306326618786	6.807140928719199	0.0	8.532784683970064	1.4375982527069715	0.0	0.0
JUN	0.8346768757820836	0.7995620022934068	2.149642657085071	4.3717780434477005	3.866419126786948	6.329263279583512	5.778620493169204	1.930057319080993
IND S7	3.350482188510195	5.374997082359107	7.741675431569781	1.084871218935894	2.2633758720308585	5.028779183721675	1.201434109172597	0.0
ethanol	1.923547691050251	1.5409376232570124	1.7946363780452592	5.532738202885634	5.920192180692103	5.347575114834263	3.8349281612126047	0.0
IGF1	0.5132582741854645	0.7083488012487583	1.4565584418027862	7.809179597641236	1.9635916872024157	6.0538514748281385	4.713777036718469	2.529487165518445
PAX3	3.0320609951566286	2.3500033828970888	4.57999358755977	5.023412893505769	3.2681918597651656	4.107717733175248	3.320063861857363	0.0
glutamyl-Se-methylselenocysteine	4.860181963244669	0.9232589379526098	2.3563578010518635	4.45624489124974	5.687586246244004	3.8606223091907967	3.5241032101773158	0.0
PD98059	1.136567808210048	0.599206867337017	1.2504093500373545	4.904301914955346	3.848346308442916	6.555666218270321	5.960358912154449	1.3373864690989516
Hbb-b1	10.3015510013337	1.3468471555096224	3.490991529278006	0.0	8.340609340627786	2.058498265749609	0.0	0.0
methylnitrosourea	4.56721503056224	1.4746579862181912	2.9740391994273683	3.670308357493725	4.1038320630995	4.165141469059782	3.0385707322291124	0.9672128151072075
GNRH2	2.6792998208566936	0.9364320760981156	0.0	4.674020385666203	5.175081135356482	2.2741390522816496	6.589958387237598	2.5801380052960408
CREB1	1.0528022114608895	0.599206867337017	1.4606061201299902	2.489295662601093	4.715628972189012	5.409071226952777	7.16511670499571	1.930603063483905
EPO	0.6745517850982028	4.349426039580284	2.682601252799636	5.655540463785679	2.1048792590376855	3.3805762843133813	5.960358912154449	0.0
colistin	2.595903363655112	0.0	3.59391559572676	3.3318504465175374	4.358666996480937	4.863700032956939	4.423518662802352	1.4683480106122753
FSH	1.1281650113790391	1.9748178600634827	3.8776486269170753	3.7098553376652386	3.6075129159743424	4.758590527121897	4.016133948885972	1.4574364572478733
vancomycin	2.594276317017636	0.0	2.664500773888731	3.962626448529417	2.7901341958132946	4.788896086845675	6.512138765403313	1.2053509383114882
ZFHX3	5.413703952450174	1.4456704793801236	0.8691501293858948	3.319283037939059	4.70628873325892	2.166579295803464	2.4289946136288663	4.074718479229431
L-glutamic acid	1.079797623665435	2.6269369191373904	2.2103253113347785	2.5546626241865504	2.674611826923505	6.814755320685662	4.795623007186295	1.6575747043302491
YM-58483	3.9953817592286813	1.1552432117641	0.0	5.023412893505769	4.524186644442408	3.0256622243188196	4.263980627913439	2.2728502299226148
kanamycin A	2.528036241263765	0.0	3.458290602279923	3.2684122341663997	4.260305922183854	4.779461773771838	4.351964118597104	1.4574364572478733
SOD1	2.4535458779742134	1.6623657347767722	2.589212780618908	3.144210645655638	3.26806105044111	5.197567451527475	4.241584217581439	1.439041789465238
FLVCR1	3.8717636838999914	2.844913739679607	1.8818991434831882	2.744592976659007	3.668485718165825	1.095964015209476	4.52053756868445	3.3448755507221035
mibolerone	4.972563174855576	3.5178121459135165	4.344553369943158	1.6441891105055164	2.218849465131096	4.448697773668116	1.5500244459864538	1.231310587384896
testosterone	3.8343152959404403	1.767698463891866	3.2355037870569725	3.1333551318771136	3.2221461832257217	3.79019647471851	2.9848039856740174	1.853488128896487
BACH1	5.142985617349096	2.374731497242141	2.323069142083499	0.0	7.126817161773788	4.293994875145973	1.3566275835603712	1.0591563468033658
miR-9-5p (and other miRNAs w/seed CUUUGGU)	4.239623993439445	1.2586621137907386	4.95736554102958	1.084871218935894	6.775063187415569	4.041350217245238	1.287230752717585	0.0
Immunoglobulin	2.9647428997117022	0.599206867337017	1.8460992058263956	2.9210532160282074	4.241143882399047	7.097924374859089	3.9441559094137943	0.0
fluoride	5.075938682904545	0.9582424795016378	3.3902510455545434	2.2974079810781833	5.890764164158703	1.9783196114756858	3.9685246779531353	0.0
EDN1	2.7509099952434775	2.810467638118633	1.0847475065812164	3.12752861358792	3.935805071349059	4.239358032509891	5.437526194074568	0.0
Z-LLL-CHO	4.660796160831731	1.0559674941197372	3.604039565528019	3.108350749197662	2.3775181056351435	4.74353745117262	3.7692183148120217	0.0
TCF7L2	0.6971628841018891	0.0	3.981262862421486	7.176560542116057	0.982554848758483	6.357070516129654	3.6593391945604896	0.0
MALSU1	5.161934273779047	5.772502288959796	4.125516591726826	3.98983824561975	1.0349140396652041	0.9894165996417527	0.0	1.6718434433817249
PAPOLA	4.503471481901815	3.445844639395598	2.4217489419170373	4.991899725611434	1.29412278534564	0.0	0.0	6.065107827292855
SYVN1	2.481498405724783	1.6651657104756272	5.732449587453185	0.0	3.4721100473847475	6.4578425441307825	1.8810401796493268	0.975199953004536
SP2509	2.0248999361067175	1.44140262015006	3.1303323542647186	1.403014883939738	6.08373962528409	4.779461773771838	3.7655437111954333	0.0
mir-2392	5.978812916835415	1.9418521235045105	4.235439728294972	4.9765926494362915	1.6694773434136037	0.8939715955623388	0.0	2.732040416032839
miR-2392 (miRNAs w/seed AGGAUGG)	5.978812916835415	1.9418521235045105	4.235439728294972	4.9765926494362915	1.6694773434136037	0.8939715955623388	0.0	2.732040416032839
glutamine	3.0385825924846577	0.896998228961832	0.0	2.139556608003745	2.5609331095558545	8.813079500726078	3.014177816783607	1.930603063483905
tazemetostat	1.8877881119911535	1.774691345298105	3.064055846811926	1.3419610423284087	5.805077748560607	4.892094519430951	3.6189151347435757	0.0
NRF1	5.017941969097475	0.0	4.5329031270772795	1.5348995942391894	6.853741823492899	2.417250124112186	1.7903553855355059	0.0
HIF1A	2.734052129534462	3.5849042810396767	6.09211155546584	1.0866077201692819	4.093707538680604	3.1318804175854082	0.0	1.3905108268224646
MEL T1	5.051331292736901	2.5020624243005494	5.4477163595441604	1.4859154543647348	3.527852944543873	4.040581659098672	0.0	0.0
methapyrilene	1.802637251699544	1.8294033676887944	1.6193235954000609	3.0854584589325507	5.414280551821388	3.5271807346371977	3.5371783733650384	1.231310587384896
BCYRN1	4.56721503056224	2.759329531503926	4.31347649842717	1.3855732075259233	2.501518433510363	3.4126495998279522	3.0385707322291124	0.0
mono-(2-ethylhexyl)phthalate	2.8623009256325602	0.599206867337017	7.055154025275492	1.620171535145197	3.188528597643384	4.239358032509891	1.2281253592122499	1.101600851599109
BCR (complex)	4.414684666141976	1.9590828385983248	2.906513969726931	0.0	5.627932059946038	4.7963505298016065	1.0582139789519514	1.101600851599109
tetraethylammonium	4.06928996553557	3.7900537002517276	6.461985579670682	1.259810251874869	1.126931542979209	3.7062828003587382	1.448711417689043	0.0
curcumin	1.6202470459692342	2.461595863271438	2.374570280193658	3.6814717502423506	3.038609061158266	3.6653973429482347	4.898946076337529	0.0
aplidine	1.727432614314378	0.0	0.0	2.184524894900308	5.61801571465859	3.615246762969793	7.025588607628135	1.5074925012013056
dalfampridine	1.0657779554912876	0.0	0.668764910964498	3.816612289544863	6.908868050866334	3.504805091476769	4.173242946064725	1.5315022105083793
TWNK	7.478550706290345	2.463919190062533	3.50386729792412	2.725772318489651	3.5819443056875357	0.0	0.0	1.6758178616790291
EIF6	6.349220002869437	0.896998228961832	2.2505486714872367	0.9789831703394322	8.472169072397989	1.2457149805883028	1.1904703755357402	0.0
thyroid hormone	2.046873909471702	2.351625874859051	2.8775732595722023	2.1752153733820285	2.359756925663395	3.7010955691472236	4.158217156295386	1.6758178616790291
bicuculline	1.0905816576526672	0.0	0.0	3.867514365379922	7.011723402758493	3.562934566698578	4.22324434022768	1.5538359864692042
metronidazole	2.2143423215715727	0.0	2.7591979455738844	2.958981867571058	3.790921938586695	4.216778836227777	4.007766529683577	1.3557947072480405
ammonium	3.0079456752813836	1.6490711025189329	9.917620179018858	1.0606171068609924	2.063269479335305	2.5194710439678274	1.037944928293566	0.0
ibrutinib	2.617837225581301	4.429325708389334	3.4298783085343527	0.9854501580562134	3.0598711375350827	5.4136213564598705	0.0	1.231310587384896
MRPL14	4.6944349824864	5.02971819318165	3.424643433488729	3.677665610878825	1.8127155359813794	0.8939715955623388	0.0	1.5809316417365702
NGF	0.937333069908312	0.0	1.1740793317453135	3.0200970723892464	5.0278766984320775	4.107717733175248	3.585096068244676	3.021648059759348
amino acids	3.350482188510195	1.3260709759858367	0.40471452798046664	2.38481480310049	3.935805071349059	3.324613162223712	3.5371783733650384	2.393825731940314
mifepristone	0.8346768757820836	0.0	0.9558713667352688	5.0222908666255055	2.8911279513672388	5.1819968258870945	4.24925756944437	1.470154583683606
MOS	6.011189194314676	1.0290231060806736	2.5998239608891605	1.8374216991003522	4.42785458218355	2.2166843562977574	1.3242947462647154	1.101600851599109
doxorubicin	1.2473770368416126	2.6986316972683353	4.68061209412323	3.635684182223666	1.8615316123821128	4.099813022414356	2.3122145012965363	0.0
