© 2000-2023 QIAGEN. All rights reserved.

Diseases and Bio Functions	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
Abdominal neoplasm	4.385191812962301	14.666925700651412	68.44786360112253	15.4585432600535	12.01555686259316	25.607227639153844	10.362245602179007	1.3330255268236018
Head and neck cancer	4.525392357138769	19.11060262799015	74.20563524762622	8.245820718343772	11.54163130799079	25.899386990001616	6.255732615831136	1.7377852303928518
Neurological signs	23.077303590523297	9.104715369970956	34.640479319151055	9.228105873658684	33.021870933350726	22.359808901958377	9.918121057622875	4.201546892191865
Familial psychiatric disease	21.48526417462253	9.782824950542796	32.45233749349397	8.149606832456808	28.975940379455754	22.739264780027654	10.645233577608519	6.347615832409497
Intraabdominal organ tumor	4.039030691033393	12.878158103894679	62.31686048229432	15.217410730347892	11.630470857562832	24.44083009245843	8.963794768066323	0.0
Cancer of secretory structure	3.875829872600319	16.907182500687423	66.62619765216617	7.523675406699402	13.63637295413703	20.290136079549665	6.401302436747273	1.4368832597153691
Head and neck carcinoma	4.3358006515470295	17.260329600070104	67.30938932126061	7.182365183252061	11.89682791906677	20.994505580458213	5.473308998540686	1.2483634957834386
Abdominal carcinoma	2.2674363416052445	13.3917562465174	65.83240896846112	13.435886921475102	8.378033903784024	24.52037642820774	7.8004554573059615	0.0
Huntington Disease	22.610040876366686	11.040731541042582	31.160139947685042	6.53050476360855	30.2300966738114	21.094652743826412	7.914686554761393	4.344594158459344
Adenocarcinoma	3.2706052362519684	13.788263784455326	60.56007514227036	13.869243835989588	11.439790656150391	22.133510168417715	7.940029579680881	0.0
Nonpituitary endocrine tumor	3.4452043575367397	17.17931540200278	68.3678875903342	7.503505860396761	12.004394074861331	18.692515539759157	4.537164501056013	1.1755249883819998
Endocrine carcinoma	3.6973724267573225	16.474777180363855	66.47482452139299	7.4515335917184276	11.270183990098253	20.008761073237842	5.014683744177255	0.0
Endocrine gland tumor	3.4982038800847763	15.99741378490376	65.86628372109735	8.167444058961912	10.798307026978907	20.317441539059217	5.06485738313349	0.0
Thyroid carcinoma	3.4776477329224034	16.771252362180473	67.18035285887963	6.743782830083775	12.333250656440486	18.734138785395213	4.3613452448009005	0.0
Thyroid gland tumor	3.5942380304215917	16.907182500687423	67.19934966024233	6.648749517754104	12.013794663380997	18.750112937656183	4.314955702127469	0.0
Dyskinesia	21.16628421751866	9.873924689534668	29.968883806354754	7.756350287553711	29.888466367945863	21.824384089716762	8.919011723517427	0.0
Neck neoplasm	3.575886711907084	16.81488988602065	67.10002586136646	6.2640241401903625	11.89682791906677	18.582086056401103	4.229322949072983	0.0
Abdominal cancer	2.5831702919019652	10.69351259147074	60.140649553358045	14.614636120856671	8.925026416317817	21.78104631482497	9.583270665281653	0.0
Cell death of tumor cells	16.13665780006846	15.337163350917498	13.220639969615748	20.70550890940346	19.39203058491793	13.360043812494421	20.701987424071067	6.5884416598721245
Metabolism of protein	15.399916480171493	14.830975663659029	33.21998721167825	12.686741591303205	12.333250656440486	18.911560647535012	13.395184798231522	1.8283611157646256
Cell death of cancer cells	16.08714478388558	12.792463925846578	11.962050544652444	21.137668959195715	19.408329376345886	12.245005975600082	20.137375606561697	6.347615832409497
Development of neurons	5.3924333945935885	3.3836789824065594	32.42283023853393	19.3292236146992	10.786680870963991	21.319370387341035	17.408791061258317	5.402546491168131
Abdominal adenocarcinoma	0.0	10.292626041568319	55.48361723968201	12.520245822384153	7.757324399896665	18.793305821017487	6.78872123186721	0.0
Progressive neurological disorder	13.108918878503475	6.2754769735886535	16.630829257054067	18.671679027977046	15.5272830497041	18.572439221574168	15.524681054011856	4.522799136251416
Development of neural cells	4.917800384735484	3.4904141183801927	31.771257818967356	19.026049952211757	9.950322658249053	22.19307875039061	16.818186358864736	0.0
Digestive organ tumor	0.0	10.081218723282891	49.81152174324523	11.801635167612481	6.134582327456755	21.094652743826412	7.341040412914053	0.0
Necrosis of tumor	16.13665780006846	15.152116730117939	0.0	21.503678651780845	19.33227178052036	13.25723404216188	20.793100165871852	0.0
Viral Infection	15.779704938959858	9.52247266093725	25.647043729258918	8.706209448676317	16.11894015307891	20.103984148098533	8.932678569803068	1.291557972760706
Organization of cytoplasm	4.039030691033393	7.186402812655866	38.502522451989456	12.26056785876599	9.967162299275056	17.48790385087284	12.741060135683597	3.4092206048926057
Microtubule dynamics	4.554737019183466	5.236642466166498	35.02219157745918	13.433377678075647	9.729765598884821	18.48751787186146	13.250882777257774	3.3119944391305562
Endocrine cancer	0.0	16.458946495051055	66.01667141557087	0.0	0.0	20.279538380929058	0.0	0.0
Organization of cytoskeleton	4.488752041482171	5.194218266209294	34.69358875711909	13.499139126026177	10.58869557140177	16.728966644208327	14.162060867774883	3.360711636223571
Hematopoietic neoplasm	7.9386935984489	3.4068012941388472	18.56935442036647	23.256187167769678	12.640052816062846	17.15118603289232	14.907569311671883	3.9379518972456404
Formation of solid tumor	1.664123122368786	6.537297705737565	50.19641107229095	9.755634744117534	6.342205133327076	19.58678605302495	6.4909571310583765	0.0
Lymphoreticular neoplasm	9.103138119018364	3.557496561001465	18.072455501449124	18.433175580607905	14.388261271105684	19.11426616383847	12.20883513428406	4.201546892191865
Motor dysfunction or movement disorder	0.0	13.725520512647218	49.55592350176019	0.0	0.0	35.08823107974591	0.0	0.0
Progressive encephalopathy	13.045546271576475	5.796615875168533	15.787508382884717	14.846803744583474	14.613136629802852	17.1904173334166	12.7842482823928	3.825941491315452
Neuritogenesis	5.80733558002945	2.977118034619326	30.907215126850254	13.06314675656419	10.564751560182279	17.33378013209606	11.738409183204562	4.608250904781942
Apoptosis	8.39938554319247	11.14535252929881	23.538188702340534	10.65329607231546	11.270183990098253	17.644643426052923	12.396020717644891	1.2005866952681976
Synthesis of protein	13.652402753903642	7.642946924291531	14.928116993907796	14.302900900704048	11.967818791929977	12.221546267501639	17.62516612012996	2.9051011355829686
Generation of tumor	0.0	6.285533663230381	47.34868350010436	9.383184030857512	5.698385848781543	19.43463380836946	6.5236811636821015	0.0
Formation of cellular protrusions	4.164071701099954	4.1798237938385325	32.926879677205314	11.647099370942483	9.967162299275056	16.814419389134315	10.882904887504393	2.7635921214878767
Digestive system cancer	0.0	7.186402812655866	44.99762240289732	10.560356048164776	4.720621566022094	19.213961464451113	6.285433540632089	0.0
Myeloid or lymphoid neoplasm	6.34277483395144	2.9045427956087306	18.438462184835824	20.893826891060144	11.193505630750611	15.913499046394163	13.03165926816499	3.5740368123510065
Neoplasia of blood cells	6.330421207027719	2.8455596605737665	17.157951713365406	19.83821265470257	11.526592454913965	16.310819317918483	13.792364444149223	3.3119944391305562
Organismal death	4.436484952579508	9.04040191122744	29.547079075817607	7.714530822577153	8.932536151782662	20.51703006011956	9.758604261193492	1.1503343188068573
Incidence of tumor	1.6385795809179766	4.777860184100274	38.888402274185594	11.209697200709488	8.551404133259242	18.419640417360707	5.709998426267567	0.0
Hematologic cancer	5.9146636457175035	2.9788421454808893	17.737485395788806	20.246391956823178	10.574489641189937	14.352135371182445	12.151745619427771	3.4551658642343916
Genitourinary tumor	2.575003244020076	3.828888119231798	37.89159387243799	8.72102028814301	10.085864105958592	14.841097520911342	7.681079855009467	1.2444945568856394
Morphology of nervous tissue	6.38539925210878	1.4037835894164432	16.85262668597253	15.293887742068646	10.593744648489237	14.33210377684991	15.946613296788726	3.3119944391305562
Chemoresistant acute myeloid leukemia	14.377423615324988	11.509702478044124	7.786869821623443	14.743124299412072	10.521308522064833	8.143745636333676	10.070055748373935	6.5884416598721245
Gastrointestinal carcinoma	0.0	6.09149062810049	41.77128172738624	8.977609047119934	4.928406920714752	17.458525842838345	4.4837204032275135	0.0
Frequency of tumor	0.0	4.24464311811322	37.35599079435727	10.342584989271186	8.235607460925243	18.316935829816423	5.179509003764542	0.0
Translation	12.47148757418038	7.642946924291531	13.287311542461596	10.304349430512588	11.182686921246793	10.465551742213352	16.88636227632234	1.3330255268236018
Cell proliferation of tumor cell lines	8.205085610769167	6.929888747942145	18.386144537901462	8.93938560152721	8.940971652514222	19.58678605302495	9.823227771235704	1.322016834859123
Parkinsonism	13.836484956229771	7.642946924291531	11.98132368634822	12.644057513940577	11.252521839622307	13.693757938978989	9.465547348109933	1.2722331760180292
Cell transformation	3.118444508209014	1.7884481894058741	17.380838382808403	18.67518014951164	11.128043358224698	14.872988613026639	14.66549955444622	0.0
Tumorigenesis of epithelial neoplasm	0.0	4.24464311811322	37.00670477252445	9.563526827877476	8.344808999646986	17.484407147802298	4.960412505140968	0.0
Processing of RNA	15.294836525187366	13.29192095311976	16.672130760251534	4.202144351695851	19.82185137082425	7.9334068150912005	4.200817039069465	0.0
Malignant genitourinary solid tumor	2.090368440902572	3.0205651234084248	36.109827961479844	7.770375159455102	8.910966865267085	14.165947087203158	7.87409421371825	1.340634164946782
Morphology of neurons	5.163398830323472	0.0	16.767727881947156	14.946361126934473	9.55265329300965	13.863516149262086	16.985458257698888	3.5395504281054646
Development of malignant tumor	0.0	3.95213326689241	35.67524634232361	9.762768900896377	8.063497307296876	18.122719524338777	5.110690661959489	0.0
Gastrointestinal tract cancer	0.0	5.584375063795314	37.37192788118243	9.759728291129136	5.061948607857343	17.454873401380116	5.012016388150807	0.0
Myeloid neoplasm	8.812765268340398	3.830852336748962	15.997172416471676	9.823873667760434	11.281853838249036	14.560087536614505	11.263801726857759	4.488036642863948
Development of carcinoma	0.0	4.086295741146977	35.66335403754303	9.463940488079057	8.445587409437678	17.15118603289232	4.84390898583084	0.0
Bone marrow neoplasm	8.873533075274842	3.977188771829663	16.47653313414855	9.803003816727136	10.88980633777352	13.954173585173537	10.83601485504001	4.540069396024656
Cell death of tumor cell lines	9.300893107049179	8.133217223550806	18.936229333444697	7.743679226674118	9.57370819074299	13.797110571290562	10.703473661902592	0.0
Morphogenesis of neurons	0.0	2.9765051628798953	31.090824022702733	14.261959956921055	10.952215247400785	18.533226362864987	0.0	0.0
Proliferation of neural cells	3.6973724267573225	2.935879854418193	19.898206255434122	12.317967641987613	5.106509203958428	18.061554865495015	12.746234194780184	2.9918445701443077
Morphology of nervous system	4.777046432394878	0.0	17.06273880418749	11.916694755359465	10.952215247400785	15.726929366799874	14.941997126678327	2.022128780303229
Neoplasia of cells	2.9227333087920955	0.0	15.967186906661542	16.981009452143777	10.523714482036143	14.206748424974963	12.490148054699407	3.171126031137396
Malignant myeloid neoplasm	8.332511937514678	4.424749885188299	15.896086500500697	8.642457553271173	10.598212996025657	13.567326081363777	9.738855361686944	4.770841491647097
Translation of protein	12.476077102492669	7.42208585191834	12.37903731873495	8.956079987573407	10.755216348185426	8.182557487368323	14.583830799659856	1.1503343188068573
Bone marrow cancer	9.069867024620125	4.437779474361995	15.429592975819842	8.969712414832912	10.736887830039331	12.458424135952562	9.433893206188387	4.661034470339409
Expression of RNA	9.711963111436585	6.816808304330491	15.580157613349098	6.826242197845617	10.390326218386415	12.716022897983779	11.753406786475342	1.328778693429405
Large intestine carcinoma	0.0	5.504501422362177	40.030680820324044	7.247870820300905	4.476914051010289	13.569843863279088	3.939851279431371	0.0
Parkinson's disease	12.178578090750301	6.8009325644405285	10.68219213181006	12.49846274590865	9.907624139586929	12.042838968165771	9.806774332792475	0.0
Gastrointestinal adenocarcinoma	0.0	5.612676065386727	38.502522451989456	6.1580570573254905	4.116178935217659	14.559799856985032	3.757376886602102	0.0
Cell survival	9.692009449559395	6.993473364244659	15.566850187499128	5.75935063595379	8.983930669277028	14.11512917082669	9.893152670070828	1.5967681927564512
Morphogenesis of nervous tissue	5.813447927176905	3.0898778946515573	32.32793383973717	0.0	11.193505630750611	20.028318831418805	0.0	0.0
Large intestine adenocarcinoma	0.0	5.475193820590824	38.48951348614244	5.78629409936982	3.9418584382936492	12.911718422721657	3.4486560510846487	0.0
Diamond-Blackfan anemia	13.250695460614972	6.648567112960168	0.0	14.490136333998885	12.426749980372659	7.767632005505743	12.324585454410382	2.92338064659189
Expression of protein	10.601171394324336	5.39349576104849	10.26491460364884	8.957572690904335	9.434580675396468	8.82113729934192	13.045721505401776	1.8745567946439028
Neuromuscular disease with neuropathy	9.567866826398594	4.621252571847456	9.361758230714965	13.826737124442477	8.904677984703671	9.187943635578064	11.252735913054652	1.3735218165287775
Proliferation of neuronal cells	3.4980744672509383	2.9901610957318976	16.511183232517844	11.113422390978817	3.4218981301438802	15.688083734978745	12.715703405571674	1.8751252041878486
Malignant neoplasm of large intestine	0.0	4.2208770058802	33.99558278894943	8.52753845062978	4.393447171076873	12.318912596397295	4.175348237801408	0.0
Cell viability	8.633240452365373	5.9215286061844985	14.975141128980589	5.34832051107857	8.92229010227596	13.340944649007398	8.624621980462607	1.289374468981594
Expression of mRNA	11.76487810866335	7.362318237538264	7.914903221607787	8.72102028814301	9.055506393666374	6.007934372252781	14.446052769228372	1.7573650756009584
Breast or colorectal cancer	1.7383952235914275	2.9025505945748815	25.60429023369063	6.970877481527142	10.655215101975028	11.224933741902548	7.874625088554898	0.0
Progressive motor neuropathy	8.761326343940619	3.3121347987057836	6.500657032571471	14.114718867610716	9.967162299275056	10.443223663675203	12.49237202294051	1.1503343188068573
Cognitive impairment	3.7245004391565937	2.1224592544944403	23.926250160452707	4.792806872182823	9.761425234000486	12.612942849176	8.085312480440502	1.4739404742895996
Gastrointestinal tumor	0.0	5.739145303439608	38.157456703008215	0.0	5.050102642781449	17.069787810470146	0.0	0.0
Epilepsy or neurodevelopmental disorder	5.19341616615006	2.079850661432645	15.180704135130236	6.96408949389716	12.735523855539531	14.453488939851303	8.961079322116015	0.0
Growth of neurites	3.5218799410056105	4.309990110323875	17.709159149888293	9.185061074719297	3.924474944023437	13.428629500522431	11.570222446949085	1.5378642134577145
Breast or gastric cancer	1.903428419225473	3.200254152555721	27.376723954226783	5.4512221335545705	10.729463148254316	10.441702398696313	5.205949178806454	0.0
Anogenital cancer	0.0	1.6674115286825655	29.35648212776725	6.372441490980183	7.241599567508673	12.03128463784824	7.244449704680143	0.0
Progressive neuromuscular disease	9.550803097546833	4.599902548029659	7.364351007512996	13.444109970438339	7.7270446850518875	9.547859333549104	10.144346862148684	1.1503343188068573
Translation of mRNA	12.586826509068093	7.31171718544273	8.415933492660328	8.656796168524256	9.807653480142424	0.0	13.8170383322551	1.6451752451949984
Liquid tumor	5.204136642581204	1.676030074904608	12.60279749761023	10.65329607231546	8.367986331730103	10.274408833335354	9.076347046060256	2.32260577076364
Mitochondrial respiratory chain deficiency	19.549887704910795	7.547214009501219	17.8488361922562	0.0	12.652110446127498	0.0	0.0	2.5646838691246834
Hematological or lymphatic system tumor	7.94029939801614	3.2918087580540263	18.298219108340213	0.0	12.586110731433163	17.187297986460248	0.0	0.0
Assembly of Respiratory chain complex I	20.405743957900807	7.221696835660023	14.901244401297685	0.0	16.57609814501782	0.0	0.0	0.0
Development of central nervous system	3.483218074097904	1.4306107501361298	15.614310197039098	6.875943490686289	8.160306137104417	13.288241780584256	8.274277863024672	1.6000272213697777
Urinary tract cancer	3.624519981781672	2.524976912047581	20.921135195883604	6.207026037693994	12.332443346624483	5.197384243984984	7.583872349918866	0.0
Breast cancer	4.9831659046424335	3.251835434104916	18.734599278598505	3.7579079708558996	13.264392904058207	7.189587467589738	7.086531130374607	0.0
Genitourinary carcinoma	0.0	1.7962949717739483	27.95994966749331	5.7424328031458245	6.190436568032285	11.779735144037843	4.4742489324922925	0.0
Outgrowth of cells	2.618258034386605	3.371030571865653	13.73620130454522	8.980987093932145	4.37882238850932	14.404926012136011	8.46351739666725	1.8218837942535813
Mammary tumor	4.992597375924018	3.5409958107839055	18.103925746328386	3.4837588416223437	13.488948644125106	7.236227750936011	6.767697629520877	0.0
Myelodysplastic syndrome or leukemia	5.0952776910164905	1.8715634584171554	12.332419998359278	9.878347173678854	8.365082811596496	8.982066310853412	8.271789224296674	2.32260577076364
Breast or gynecological cancer	1.5966814987002804	0.0	24.032760023425787	5.4261084579989465	8.24229898103286	10.820976673700766	6.759194866665592	0.0
Apoptosis of tumor cell lines	6.170970936634522	8.133867858757705	12.871402109868843	4.974989345081468	7.08484757747771	8.812194123147618	8.290316067900397	0.0
Large intestine neoplasm	0.0	4.378054683382199	34.57745505111328	0.0	4.549335059231411	12.246657025338225	0.0	0.0
Renal lesion	5.915896256011255	1.6340081893101677	16.85722819798009	5.437942482059555	14.892904290103536	5.386752570195897	5.1050850205514715	0.0
Renal cancer	6.792946445428278	1.6448405134556268	16.637212952809076	4.888166218979483	15.012581155150345	4.717838713409058	5.423998635590532	0.0
Breast or ovarian cancer	3.0043679331300477	2.39039966902157	19.044275427183337	4.717094209749968	10.820355107891553	7.698847729495035	7.276344418359895	0.0
Hepatobiliary neoplasm	0.0	2.825924710996056	19.898206255434122	7.794334493012182	6.312858510143996	10.8658865312131	7.149810392806605	0.0
Sprouting	2.738731578888341	0.0	12.83466853178708	8.993914048185092	4.81854113841768	12.261518827513328	9.765567338575954	3.0675943163286963
Outgrowth of neurons	3.263425035932312	3.0359634989038935	13.7001991308469	7.8078265045501265	4.61477531892653	13.146258197458128	8.745239247777446	0.0
Autosomal dominant encephalopathy	2.9272129954491852	2.29166079982798	13.161066090437819	4.192590071290361	8.483675816797861	16.297977267825253	6.667531448910631	0.0
Multiple cancers	3.0924104033970163	2.538907449172832	19.221659853078197	4.253685537712833	10.253597743062562	7.609324913084562	7.002528364380779	0.0
Abnormal morphology of nervous system	1.664123122368786	0.0	11.124785286866715	10.342584989271186	6.135569383737266	9.879846179023655	12.971457192522278	1.1503343188068573
Cell viability of tumor cell lines	7.077333629069559	5.8746018386750665	11.476189424454454	3.1777613006052308	8.063497307296876	8.53373190559529	7.323186076858857	1.6888554424256783
Autism spectrum disorder or intellectual disability	2.91525999795175	3.0205651234084248	23.6464410593909	0.0	7.565678974523354	11.134438179978039	4.877755794261844	0.0
Progressive parkinsonism	12.536892548985906	7.31171718544273	10.880244393730173	0.0	10.193010326588105	12.142329979808844	0.0	0.0
Liver tumor	0.0	2.654907238828917	18.35619621930624	8.616993516252188	5.988133334644155	10.49172270833511	6.929108643488654	0.0
Genitourinary adenocarcinoma	0.0	1.4050144318158369	24.648815254495346	6.485415753319489	6.722039395132309	9.97744946406232	3.4408111861879385	0.0
Development of adenocarcinoma	0.0	0.0	20.76007393754026	5.82678814204527	9.189491400873735	13.499230152120775	3.3628898938247223	0.0
Genital tumor	0.0	0.0	22.788992555265732	8.723165752141993	4.876005541801447	10.820976673700766	5.29773352063651	0.0
Dementia	6.566140532679379	2.416076144122478	11.230745077371871	8.975901412588051	3.9108538820490297	10.305309358162821	4.366672557751808	4.5106512086353465
Renal tumor	7.119697048104991	1.9244396466683151	16.925483907756167	5.34832051107857	15.317668604034154	5.609555921693772	0.0	0.0
Shape change of neurons	3.6276086484309578	0.0	13.715400326729428	8.6236790057805	5.301742244005382	11.728293608195921	9.064995638318571	0.0
Abnormal morphology of neurons	1.9004478816253914	0.0	9.475844517750325	12.686741591303205	4.151519157728466	8.321980143903044	13.235160656685629	2.089148228280428
Myelodysplastic syndrome	4.322186165243833	4.086593566079625	9.393434276329849	6.880864084958403	5.2982994845677425	8.461011188603804	10.59968433735521	2.516143905338034
Liver lesion	0.0	2.8327559762784262	17.426375125229537	8.993914048185092	5.403632217282227	10.246777438338873	6.397023335126038	0.0
Outgrowth of neurites	2.7993777608104744	2.969647412173209	12.03549300353548	7.005176247878611	4.112077303141094	12.53823060927753	7.8629521408813	1.8751252041878486
Neuronal cell death	3.2578955179050393	3.2227577080338876	13.304997946579556	6.832909669334297	6.6572214387531545	10.54884805540563	4.949754331112544	2.357822502679113
Urinary tract tumor	3.703346908023792	2.6561247500176366	20.38182383323607	6.261433365791323	12.333250656440486	5.580111524507604	0.0	0.0
Pelvic tumor	0.0	0.0	21.41756025893289	8.472887313594555	3.86765485032396	11.083157218561958	5.647912302969678	0.0
Quantity of neurons	2.24386939573991	1.7272288374996076	8.596534665187006	10.024194427408046	4.21697460242564	10.645684277624069	10.33560724037091	2.65032099953934
Stage I metastatic non-small cell lung carcinoma	11.5170721126375	7.3750412666702125	6.547742624864307	4.811081727752657	9.678212994395526	0.0	8.881957710362562	1.277593485922534
Catabolism of protein	4.845796419415065	7.642946924291531	21.024045019873892	3.3236954388162006	4.208704078646763	8.42560736555883	0.0	0.0
Mental retardation	2.883930509241316	2.096178788985887	21.243433129891184	0.0	6.672408732452374	10.683270324463074	5.830825470046819	0.0
Myeloid leukemia	5.183361506365416	2.837796562432069	12.379691367376962	4.560560447010679	7.307678116739317	9.405143332825354	5.082520811568428	2.419214156994653
Branching of neurons	3.4612471198881813	0.0	13.884630358890128	7.761219946385866	5.130854221868792	10.680001355792776	8.170169058235071	0.0
Infection by RNA virus	7.234819800354181	4.924173345544406	16.199061097734766	0.0	7.250346010679583	9.420487681698829	3.8618930117715307	0.0
Tauopathy	5.825590964138785	2.023096886274516	12.60279749761023	5.758888054397655	5.025391212169956	10.683270324463074	3.3075392495703797	3.6276328480324946
Amyloidosis	5.803961897463825	2.3712062961631912	10.797337322594007	6.109117599246737	4.707671859213227	11.359306216890586	3.5994685734314023	4.082476426675267
Branching of neurites	3.335127452109771	0.0	13.920701071513136	7.011365966428007	4.680918406924498	9.391099037477236	7.357924887212607	3.0061340049158884
Invasive tumor	4.536085938848607	3.4943215692688936	7.867680516823601	5.391919835330017	7.034850344359197	8.3150116236659	10.721736168167148	1.291557972760706
Upper gastrointestinal tract cancer	0.0	1.5694119410641594	22.14081297993968	4.44807055317141	6.129634451450474	11.097152064144444	3.255687495226167	0.0
Branching of cells	2.9627677139484008	0.0	12.29931930763466	7.381831889682601	4.557406656730047	9.406521451910226	8.964484527376799	2.92338064659189
Acute myeloid leukemia	5.163874435636822	2.885832040551505	12.508620511316337	4.3105197343857995	6.912761725898725	9.717269990439739	4.535394401796939	2.3856011231674263
Cell movement	0.0	0.0	11.229222171236499	10.274323802583503	4.277143244247182	13.424631575746272	7.940029579680881	1.1518295954849158
Morphology of central nervous system	0.0	0.0	13.275043847926037	7.288923127795315	6.0069201369148795	9.844247154469748	10.037611741052602	1.1503343188068573
Oral cancer	2.195717192433848	1.6267433421278883	17.242013808429792	3.8194341987108866	9.24352016976399	8.826869647012726	4.405703197919722	0.0
Infection of cells	6.842190302020436	6.972497055664389	21.181521930616565	0.0	4.843882678045132	7.482826004144499	0.0	0.0
Upper urinary tract tumor	0.0	2.2369861442652703	17.615667071234668	0.0	15.875862779430705	5.91403499304273	5.6309995531344255	0.0
Alzheimer disease or frontotemporal dementia	5.525010129257129	1.8173610206321087	11.29786716487718	5.94606066923416	4.231827834288895	10.360838913788346	3.700009455258496	4.359420300996006
Non-malignant disorder	3.9974802041611013	1.8834394691125482	10.018962822309275	4.921672796481261	10.247641681858841	5.898860492088483	8.907873536162313	1.2105869646261909
Neurodevelopmental disorder	3.49765383476568	3.1722390174832418	15.614310197039098	3.72529594911127	6.385733179345416	9.391099037477236	5.211752912904633	0.0
Intestinal cancer	0.0	0.0	33.84449333193938	8.699349895835486	4.454151978891021	0.0	0.0	0.0
Constitutional bone marrow failure syndrome	9.68142602738604	5.411123054598078	0.0	9.536093416720497	8.07259340874546	5.90266837654643	8.305852883160787	0.0
