© 2000-2023 QIAGEN. All rights reserved.

Upstream Regulators	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
cycloheximide	-0.841	2.145	1.814	-1.795	1.904	-3.069	-2.555	-2.396
lipopolysaccharide	3.073	-2.598	-4.016	0.974	3.24	2.171	-0.371	0.051
PD98059	-3.369	3.417	3.272	-0.163	-3.059	-1.593	0.95	-0.566
DAP3	-3.162	3.317	3.606	2.828	-0.816	N/A	N/A	2.449
hydrogen peroxide	3.494	-2.319	-2.586	0.151	3.876	2.307	-0.894	0.502
LONP1	-3.015	3.592	2.867	1.117	-1.97	0.806	N/A	2.449
miR-9-5p (and other miRNAs w/seed CUUUGGU)	-2.61	3.101	4.445	-0.365	-2.659	-1.969	0.618	N/A
YM-58483	-2.828	2.449	N/A	-2.121	-3.0	-1.414	-1.89	-2.0
actinonin	3.162	-3.162	-3.464	-2.828	0.447	N/A	N/A	-2.449
tunicamycin	3.262	-2.669	-4.668	N/A	2.418	2.385	N/A	N/A
decitabine	2.096	-1.915	-3.301	-0.703	2.954	2.505	-1.091	-0.782
bexarotene	2.357	-2.26	-3.369	-1.664	1.473	3.084	-0.12	1.0
amino acids	-1.026	-2.0	-2.0	2.153	-1.399	2.372	2.373	1.982
deferoxamine	3.211	-1.796	-3.362	-1.389	2.375	0.77	-0.213	-1.997
forskolin	3.107	-2.189	-3.032	1.179	4.03	0.196	-0.62	0.747
LIF	-2.343	2.272	2.521	1.241	1.734	-2.086	-1.952	0.833
CDK4/6	-3.207	1.994	1.877	-0.577	-3.053	-2.145	-1.265	-0.762
ibrutinib	-2.673	1.46	2.959	-0.378	-4.0	-1.877	N/A	-1.342
cisplatin	1.611	-3.107	-3.384	0.7	2.756	-0.877	-0.351	-1.882
cuprizone	2.53	-3.464	-1.318	2.358	1.89	0.638	1.929	0.447
pirinixic acid	2.794	-3.635	-4.868	-0.571	1.374	1.317	N/A	N/A
TSC2	-2.643	1.915	1.994	1.912	-3.064	-1.324	1.633	N/A
guanidinopropionic acid	3.456	-0.606	-3.844	N/A	3.591	2.818	N/A	N/A
MXD1	-2.449	2.137	2.56	-2.236	-1.89	-1.117	-1.89	N/A
FAAH	-2.2	1.633	2.646	-2.236	-2.646	-0.816	-1.633	-0.447
HMG20A	N/A	-2.53	-3.615	-2.449	1.492	2.496	-1.633	N/A
SIRT3	2.046	-2.294	-2.55	-2.234	-0.562	0.611	1.03	-2.823
TCF4	2.065	N/A	-3.85	-1.976	1.807	2.478	N/A	-1.89
WNT3A	-3.536	1.668	2.443	0.38	-2.975	-1.927	0.273	0.839
PML	-1.867	2.47	2.267	0.816	-1.197	-2.878	2.414	N/A
DT-061	-1.633	2.646	2.333	-2.236	-2.0	-1.0	-2.0	N/A
STIM1	1.897	-1.155	-1.604	2.333	2.333	1.265	1.89	1.342
IL4	N/A	-3.34	-3.36	-3.115	N/A	2.033	-1.915	N/A
ALKBH7	-2.971	2.804	3.13	2.626	N/A	N/A	N/A	2.224
IFNG	2.279	-2.8	-2.42	-0.627	2.366	1.463	-1.697	N/A
nitric oxide	2.572	-1.149	-1.76	-2.09	2.605	-0.661	-1.287	-1.52
thapsigargin	3.015	-2.676	-3.253	N/A	3.182	-0.153	-1.13	N/A
estradiol-17beta-benzoate	1.857	-2.357	-1.386	1.554	2.597	1.499	0.676	1.463
MEF2C	3.44	N/A	N/A	-1.837	3.174	0.681	-2.185	-2.0
ALKBH1	-2.646	2.449	2.828	2.236	-1.0	N/A	N/A	2.0
NSUN3	-2.646	2.449	2.828	2.236	-1.0	N/A	N/A	2.0
IGF1	2.807	-0.725	-1.997	-1.895	2.325	-0.241	-1.776	-1.357
EGF	2.511	-1.861	-3.218	0.987	3.238	-0.214	-0.237	-0.741
IL33	3.456	N/A	-3.847	-0.667	2.976	1.94	-0.11	N/A
dalfampridine	2.449	N/A	0.217	-0.552	3.873	-1.913	-2.985	-1.0
methylprednisolone	1.092	-2.424	-2.237	-1.997	1.695	0.683	-1.787	-0.92
FHIT	-2.233	2.963	2.876	N/A	-2.233	-2.437	N/A	N/A
bicuculline	2.433	N/A	N/A	-0.48	3.772	-2.005	-2.942	-1.067
ATF6	2.947	-2.412	-2.897	N/A	2.603	1.8	N/A	N/A
G protein alpha	2.333	-1.897	-3.128	N/A	2.236	2.0	1.0	N/A
MAP3K12	-0.905	-0.905	-2.523	-2.335	-0.359	0.389	-2.704	-2.449
TSC1	-2.228	2.736	2.517	N/A	-1.992	-2.637	-0.391	N/A
PPARG	1.952	-2.919	-2.238	-1.696	2.326	N/A	-1.31	N/A
MAP4K4	-3.162	N/A	3.838	N/A	-2.714	-2.714	N/A	N/A
CREB1	1.719	-1.341	-0.646	0.362	3.542	-1.773	-2.833	0.201
Wy 40905	2.213	N/A	N/A	-0.378	3.933	-2.762	-3.116	N/A
NF1	-1.342	2.156	2.356	-1.633	-1.134	-0.788	-1.951	-1.0
SP1	N/A	-1.971	-3.456	-0.808	1.481	3.79	0.832	N/A
uranyl nitrate	1.624	-1.959	0.197	1.796	1.723	2.214	1.425	1.342
tanespimycin	-2.4	2.239	-0.337	-1.941	-2.006	0.052	-1.069	-2.2
let-7a-5p (and other miRNAs w/seed GAGGUAG)	-2.261	3.23	2.667	N/A	-1.024	-3.016	N/A	N/A
CD38	N/A	-4.144	-5.014	-0.792	N/A	1.625	-0.6	N/A
elaidic acid	N/A	-3.0	-4.141	-1.387	2.236	N/A	-1.387	N/A
trichostatin A	2.281	-0.645	-2.304	-0.26	3.269	2.12	-1.19	N/A
prednisolone	-2.673	1.941	2.746	1.387	N/A	-2.683	0.632	N/A
DDB1	1.0	N/A	2.0	1.342	2.828	-2.646	-2.236	N/A
calcimycin	2.574	N/A	-3.002	-1.481	3.096	-0.094	-1.801	N/A
gemfibrozil	N/A	-1.997	-3.064	-2.423	N/A	2.334	-2.215	N/A
HAX1	-2.828	N/A	3.742	N/A	-3.0	-2.449	N/A	N/A
CLU	1.98	-1.016	-2.559	-1.432	1.982	1.942	-1.067	N/A
sodium arsenite	2.367	-1.238	-1.919	-1.362	2.377	-1.444	-1.253	N/A
miR-542-3p (miRNAs w/seed GUGACAG)	-1.969	N/A	1.969	-1.969	-1.969	-1.969	-1.969	N/A
NRG1	2.025	-1.774	-1.699	1.47	1.103	0.694	1.387	1.65
EIF4E	1.48	-4.16	-4.564	N/A	0.19	1.405	N/A	N/A
IL6	2.046	N/A	-2.994	N/A	3.41	N/A	-2.335	-1.004
PLA2R1	1.98	-2.213	-3.697	N/A	2.429	1.387	N/A	N/A
PPARGC1A	1.758	-0.379	-2.819	-0.392	2.83	1.901	-1.588	N/A
hydrocortisone	2.621	N/A	-3.191	-1.667	N/A	2.212	-1.97	N/A
GAST	2.111	-2.549	-2.698	0.114	2.197	1.371	-0.57	N/A
GPER1	2.552	N/A	N/A	-1.067	3.218	-0.609	-2.733	-1.404
4-hydroxytamoxifen	1.475	0.562	-0.338	-1.373	1.945	-1.596	-3.029	-1.239
HNF4A	0.137	-1.285	-1.308	-0.654	2.489	1.837	-2.502	-1.342
testosterone	1.315	-1.487	-2.641	0.667	1.32	1.832	-0.838	1.414
PTP4A1	-2.762	0.855	1.34	0.543	-3.212	-1.721	1.026	N/A
EPAS1	2.751	N/A	-3.236	-0.258	2.8	1.813	-0.585	N/A
pCPT-cAMP	-0.916	2.214	2.286	0.571	1.498	-1.71	-2.219	N/A
mir-8	N/A	3.08	1.937	-1.635	0.415	-2.259	-1.667	0.419
dihydrotestosterone	1.061	-3.334	-3.438	-0.594	-0.272	2.126	-0.088	0.401
NRF1	2.514	N/A	-2.759	0.545	2.223	2.267	1.0	N/A
ethanol	2.712	-2.92	-2.674	-0.426	0.415	1.37	0.745	N/A
TSH	2.207	-2.057	-2.232	N/A	1.25	1.461	-1.901	0.147
TRIB1	2.333	-1.0	-2.546	N/A	2.53	2.828	N/A	N/A
ASPSCR1-TFE3	N/A	N/A	-3.299	-2.236	N/A	3.575	-2.0	N/A
FN1	0.302	-1.98	-2.459	1.632	N/A	3.285	0.585	0.862
TCF7L2	0.597	N/A	-3.716	-1.854	-1.095	3.412	-0.424	N/A
delta-aminolevulinic acid	2.216	-1.309	-1.309	N/A	2.216	1.98	1.98	N/A
mir-802	-1.786	2.84	3.068	-0.302	-1.387	-1.619	N/A	N/A
anisomycin	-0.164	1.948	1.201	-1.036	2.208	-2.151	-2.218	N/A
FOSL1	N/A	-1.915	N/A	N/A	-2.942	2.939	1.078	1.941
RAF1	2.197	N/A	-1.853	-0.897	1.772	1.296	-1.29	1.457
dexamethasone	1.787	0.281	-2.093	-1.998	0.921	2.401	-0.831	-0.443
FLCN	-0.115	0.14	1.337	-1.094	-2.134	-2.559	1.588	-1.787
IL3	1.857	-2.365	-2.42	-0.447	2.442	-0.662	-0.543	N/A
QKI	1.505	-2.227	-2.977	0.269	1.289	1.972	0.488	N/A
2500002B13Rik	-1.32	2.138	0.262	2.449	1.238	-1.067	N/A	2.236
IL15	1.579	-1.728	-2.697	-0.951	0.696	2.796	N/A	0.246
phytohemagglutinin	N/A	N/A	-3.767	-0.989	2.055	3.37	-0.508	N/A
poly rI:rC-RNA	2.496	N/A	N/A	-1.012	3.337	-0.467	-3.073	-0.277
Z-LLL-CHO	2.357	-2.088	-2.721	-0.592	1.695	1.126	0.042	N/A
AR	-1.115	-0.519	-1.112	-0.971	-2.729	2.369	1.191	-0.594
SAMMSON	-2.72	1.414	3.162	N/A	-3.302	N/A	N/A	N/A
HOXA10	-2.333	N/A	2.043	0.707	-2.324	-1.291	-1.89	N/A
CA9	-2.449	2.155	2.048	N/A	-2.53	-1.334	N/A	N/A
CLDN7	1.029	-2.573	0.622	1.89	0.183	-1.4	2.813	N/A
FOXO3	1.917	0.029	0.875	-0.839	2.329	-1.335	-1.888	-1.294
ERN1	2.909	N/A	-3.492	N/A	1.9	2.139	N/A	N/A
kainic acid	N/A	-1.168	-0.985	-1.072	3.319	0.619	-3.174	N/A
aldesleukin	1.633	N/A	-2.53	N/A	2.0	2.828	-1.342	N/A
RGS2	-2.121	3.051	3.53	N/A	N/A	-1.604	N/A	N/A
OGA	-1.342	1.449	0.81	-1.414	-2.556	-2.0	0.728	N/A
EGFR	1.434	-2.943	-2.278	0.637	1.072	0.867	0.89	0.173
glutamyl-Se-methylselenocysteine	-1.89	0.0	1.414	1.633	-2.121	-1.89	1.342	N/A
Akt	0.103	-2.521	-1.93	-0.243	-0.237	2.203	1.58	1.436
arsenic trioxide	3.264	0.561	-0.231	N/A	3.421	0.595	-2.132	N/A
butyric acid	2.475	-0.369	-0.577	0.561	3.047	-0.258	-2.912	N/A
GNRH1	0.821	N/A	N/A	-1.225	1.967	-2.349	-1.837	-1.998
PDGF BB	1.186	-0.995	-0.529	-0.186	1.808	-2.392	-2.64	-0.46
F2	2.529	N/A	-3.049	-0.572	1.835	0.882	-1.106	-0.221
CLPP	N/A	2.534	4.943	N/A	N/A	-2.714	N/A	N/A
NR4A1	-1.756	2.156	2.088	1.767	-0.747	-1.613	N/A	N/A
TWNK	-1.929	2.63	2.137	2.219	-1.195	N/A	N/A	N/A
VEGFA	3.869	-2.253	N/A	-0.525	2.236	1.162	N/A	N/A
FLVCR1	-2.0	2.0	2.0	N/A	-2.0	N/A	-2.0	N/A
KAT5	0.832	-2.385	-2.53	-1.134	-0.894	0.577	1.633	N/A
SREBF1	0.431	-0.226	-2.197	0.793	2.599	2.287	-0.756	0.686
AGT	2.678	N/A	-2.856	0.155	1.353	2.186	0.704	N/A
PLAUR	0.254	N/A	-1.731	N/A	-1.342	2.57	2.368	1.66
PAPOLA	-1.98	1.98	1.98	1.98	N/A	N/A	N/A	1.98
phosphate	2.804	-0.955	-1.951	-0.816	1.599	1.32	-0.447	N/A
filgrastim	-2.209	N/A	1.851	1.469	-2.247	0.829	1.281	N/A
palbociclib	1.123	-1.08	N/A	0.333	3.823	-0.524	-3.0	N/A
IL1B	2.46	-1.989	N/A	-0.929	2.84	0.09	-1.261	-0.302
PKM	2.178	-1.936	-0.735	-1.379	0.301	1.888	N/A	-1.454
formaldehyde	1.129	N/A	N/A	-2.0	2.73	-1.414	-2.546	N/A
tetradecanoylphorbol acetate	N/A	N/A	-3.653	-1.053	2.171	0.46	-2.404	N/A
selenomethylselenocysteine	-2.121	0.0	1.414	1.134	-2.121	-2.121	0.816	N/A
CGA	-2.538	0.577	2.734	N/A	-2.138	-1.678	N/A	N/A
miR-1-3p (and other miRNAs w/seed GGAAUGU)	N/A	2.84	3.397	0.277	N/A	-3.145	N/A	N/A
cigarette smoke	1.895	0.381	-1.885	-1.956	1.01	0.029	-1.435	-1.06
YY1	0.424	-2.441	-1.818	-0.836	-0.294	1.837	1.969	N/A
CHUK	N/A	-2.544	N/A	-1.492	1.878	1.735	-1.588	-0.36
tert-butyl-hydroquinone	2.94	N/A	N/A	N/A	3.129	1.04	-2.471	N/A
GSKJ4	0.728	-0.943	0.756	-2.333	-2.138	N/A	N/A	-2.646
CCND1	-3.153	0.164	0.398	-0.334	-3.162	-1.411	-0.098	-0.816
ERK1/2	1.386	N/A	-1.256	-2.741	1.311	-0.059	-2.372	-0.349
Ca2+	2.322	-1.828	N/A	0.397	2.264	-1.33	-1.093	0.219
Fus	0.753	-2.438	-0.741	1.98	0.816	1.6	0.927	0.152
FOXO1	2.674	N/A	-2.126	0.322	3.313	0.389	-0.553	N/A
2-amino-5-phosphonovaleric acid	N/A	N/A	-0.871	-0.17	-2.932	2.685	2.239	0.45
Perm1	1.414	-0.378	-2.673	N/A	2.646	2.236	N/A	N/A
epigallocatechin-gallate	2.032	1.281	N/A	-1.36	2.172	0.141	-1.301	-1.015
mir-2392	2.439	-1.994	-2.635	-2.228	N/A	N/A	N/A	N/A
tetraethylammonium	-1.667	1.943	1.544	0.0	-2.236	-1.897	0.0	N/A
POMC	2.371	-1.96	N/A	0.199	2.767	N/A	-1.978	N/A
HRAS	1.302	-1.353	-0.946	1.398	0.998	-0.271	1.226	1.767
JUN	1.498	-1.633	-1.145	-0.33	1.227	1.104	-0.496	1.771
Esrra	2.333	-2.137	-2.125	N/A	2.496	-0.105	N/A	N/A
IPMK	N/A	-0.816	-2.145	-1.964	1.947	0.544	-1.715	N/A
Hdac	N/A	N/A	N/A	0.313	-3.206	1.906	1.857	1.838
TNF	1.126	-2.188	-1.742	0.975	1.675	-0.387	0.52	-0.506
PRKAA2	-0.632	1.268	1.57	-1.463	-0.333	-1.863	-1.982	N/A
IL9	-1.231	2.219	1.841	N/A	-0.104	-1.732	-1.982	N/A
losartan potassium	-2.219	N/A	N/A	1.706	-1.961	-1.745	1.463	N/A
YWHAZ	-2.401	N/A	2.777	N/A	-1.964	-1.947	N/A	N/A
NR4A2	1.964	-2.423	-2.423	0.447	1.83	N/A	N/A	N/A
ELL2	N/A	-2.121	-4.243	N/A	N/A	2.714	N/A	N/A
ESR1	-0.118	-0.697	1.132	1.712	-1.61	-1.059	2.542	0.171
IgG	-0.931	2.74	1.928	-1.364	0.269	-1.521	-0.285	N/A
SDCBP	0.713	-1.203	-1.43	1.941	N/A	1.779	1.963	N/A
mir-1	N/A	3.44	2.222	-0.113	N/A	-1.585	-1.664	N/A
Growth hormone	2.549	-1.986	N/A	-0.151	2.015	-0.005	-1.58	-0.723
2-amino-1-methyl-6-phenylimidazo-4-5-b-pyridine	0.302	-2.433	-2.853	2.236	0.956	-0.213	N/A	N/A
MKNK1	1.89	N/A	-2.117	-0.239	1.212	3.207	0.302	0.0
PI3K (family)	2.577	N/A	-2.499	-1.097	2.38	-0.396	N/A	N/A
prexasertib	2.449	N/A	N/A	N/A	2.53	-1.508	-2.449	N/A
levodopa	3.041	-0.322	-1.516	-1.033	1.725	-0.02	-1.113	-0.161
RELA	N/A	N/A	N/A	-1.026	2.733	1.927	-1.856	-1.387
KLF6	1.14	-2.177	-2.447	-0.564	N/A	1.933	-0.632	N/A
FGFR1	0.378	-1.883	-2.034	1.238	1.151	-0.305	0.956	0.943
medroxyprogesterone acetate	N/A	-2.479	-2.599	-0.066	0.614	2.441	0.678	N/A
EPO	2.155	-1.817	-0.707	-0.63	1.777	-0.777	-0.998	N/A
TP53	1.26	-1.556	-1.442	1.18	0.218	0.993	1.26	0.928
thyroid hormone	-1.129	1.248	0.874	-1.463	1.151	-1.022	-1.706	-0.243
BCL2	1.644	-2.452	-1.846	N/A	N/A	2.837	N/A	N/A
ERBB2	1.471	-2.029	-0.594	0.095	0.609	0.049	2.051	1.866
Creb	1.681	-0.959	-1.534	-0.256	1.76	0.43	-2.025	0.109
potassium chloride	2.235	N/A	N/A	-0.817	2.591	-0.915	-2.181	N/A
nicotinamide-beta-riboside	2.449	N/A	-3.606	N/A	2.646	N/A	N/A	N/A
CD40LG	N/A	N/A	-1.725	-2.742	2.06	-0.283	-1.556	0.332
LCK	1.633	-3.0	-2.137	0.0	1.89	N/A	N/A	N/A
MAP3K8	N/A	2.433	3.058	N/A	0.954	-2.142	N/A	N/A
tetracycline	-1.664	1.937	1.915	N/A	N/A	-2.0	-1.067	N/A
PRKCA	N/A	N/A	-2.621	-2.608	0.128	1.526	-1.698	N/A
tretinoin	-0.639	2.223	-0.161	-2.472	0.524	0.736	-1.737	-0.085
NFYA	2.219	N/A	N/A	-2.219	1.941	0.548	-1.633	N/A
EPHA2	N/A	N/A	N/A	0.378	3.0	-1.808	-1.406	-1.964
TGFB1	0.623	-2.512	-2.117	0.462	0.493	1.477	-0.384	-0.47
interferon alfacon-1	-2.0	1.89	1.667	N/A	-1.342	-1.633	N/A	N/A
PHF6	0.905	-1.508	-1.387	-0.816	0.577	2.333	-1.0	N/A
methyl methanesulfonate	1.948	-1.497	-1.168	N/A	2.76	-1.108	N/A	N/A
LY294002	N/A	N/A	3.141	-0.431	-2.781	-0.627	0.785	-0.713
inosine	N/A	-2.646	N/A	1.0	1.964	2.646	-0.218	N/A
FBXW7	-0.577	2.553	2.01	0.434	N/A	N/A	-0.651	2.236
25-hydroxycholesterol	1.791	N/A	0.041	-1.478	2.395	-0.287	-2.449	N/A
NFKBIA	0.683	0.421	-0.376	-1.532	0.552	-1.198	-1.526	-2.143
TNFSF11	N/A	-2.304	N/A	N/A	1.625	-1.024	-2.145	-1.273
valproic acid	-0.347	1.857	-0.593	-0.278	-0.305	2.236	0.32	-2.418
CLPB	-2.646	N/A	3.051	N/A	-2.646	N/A	N/A	N/A
dactolisib	N/A	2.212	2.323	N/A	-1.664	-0.429	1.706	N/A
glucosamine	-1.463	1.912	1.857	N/A	-1.664	-1.414	N/A	N/A
camptothecin	-1.295	-1.127	-0.664	-0.084	1.092	0.197	-2.501	1.342
RUVBL1	1.109	-2.449	-2.72	N/A	2.0	N/A	N/A	N/A
CpG ODN 2006	1.0	-2.656	-2.389	N/A	0.336	N/A	1.89	N/A
carrageenan	N/A	N/A	N/A	-1.342	2.937	-0.963	-1.911	-1.114
THBS4	N/A	-2.207	-2.767	N/A	N/A	2.0	1.29	N/A
N1,N11-diethylnorspermine	2.0	-2.828	-1.605	-0.799	N/A	N/A	N/A	-1.0
ADORA2A	1.0	-0.832	-2.165	0.647	0.55	1.743	-1.29	N/A
RPTOR	N/A	-2.409	-2.533	-0.863	N/A	1.257	0.114	1.0
ANXA7	2.449	-2.0	-1.929	N/A	0.378	1.414	N/A	N/A
NAMPT	2.153	N/A	-3.279	N/A	2.56	N/A	-0.176	N/A
NOTCH1	N/A	-2.022	-2.194	1.233	N/A	1.002	0.761	-0.949
paclitaxel	1.04	2.151	N/A	-1.382	1.39	1.026	-1.166	N/A
17-alpha-ethinylestradiol	N/A	-2.216	-2.751	-0.728	2.425	N/A	N/A	N/A
PRMT1	1.768	-3.11	N/A	-1.0	0.096	2.032	-0.1	N/A
IRF4	-1.604	N/A	2.449	-1.414	-1.604	0.971	N/A	N/A
carbon tetrachloride	1.785	N/A	N/A	-0.879	2.896	0.857	-1.618	N/A
ELK1	N/A	N/A	N/A	-0.61	2.89	-2.147	-2.348	N/A
4-methylnitrosoamino-1-(3-pyridinyl)-1-butanone	N/A	N/A	-2.207	N/A	1.999	-1.825	-1.961	N/A
COPS5	-1.107	1.857	2.427	N/A	-1.147	-0.53	0.905	N/A
EIF2AK3	1.43	N/A	-1.707	N/A	2.661	-0.171	-1.987	N/A
TWIST1	N/A	N/A	-2.634	-0.537	-1.708	2.384	0.225	0.452
CEBPA	N/A	-2.214	-1.976	0.42	1.019	-0.843	0.154	-1.281
miR-2392 (miRNAs w/seed AGGAUGG)	2.441	-1.99	-1.995	-1.462	N/A	N/A	N/A	N/A
gemcitabine	N/A	0.977	-0.738	-1.723	1.797	-0.879	-1.744	N/A
OGT	-1.286	1.535	0.03	1.941	-0.822	0.325	1.276	-0.6
doxorubicin	1.811	-0.459	-2.115	-0.203	1.855	0.379	-0.949	N/A
CD24	N/A	N/A	3.281	N/A	-1.686	-2.06	0.739	N/A
2-deoxyglucose	1.844	N/A	-1.832	N/A	2.193	0.686	-1.186	N/A
CG	N/A	N/A	-2.491	0.13	2.559	0.282	-2.095	0.182
PIK3R1	2.155	N/A	-1.327	-1.454	1.709	0.865	-0.2	N/A
Firre	N/A	N/A	-3.051	1.387	N/A	1.238	2.0	N/A
YAP1	-0.385	-1.782	-1.782	-0.074	-0.924	2.357	-0.153	0.198
PSMB11	2.369	0.099	N/A	-0.595	-0.05	0.605	1.934	-2.0
vancomycin	1.0	N/A	-0.996	0.987	1.199	0.714	1.749	-1.0
COL5A1	N/A	N/A	2.985	2.0	N/A	-2.646	0.0	N/A
CREM	1.845	N/A	N/A	-0.342	1.86	-1.123	-1.142	-1.304
